$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:408.     

JDAY,     TSS,    TISS,
    18.400,   12.8754,   12.8752,
    18.500,   12.7704,   12.7703,
    18.600,   12.6861,   12.6860,
    18.700,   12.6066,   12.6065,
    18.800,   12.4420,   12.4419,
    18.900,   12.3055,   12.3054,
    19.000,   12.1696,   12.1694,
    19.100,   12.0392,   12.0391,
    19.200,   11.8984,   11.8982,
    19.300,   11.7489,   11.7488,
    19.400,   11.6113,   11.6111,
    19.500,   11.5095,   11.5094,
    19.600,   11.4073,   11.4072,
    19.700,   11.2896,   11.2894,
    19.800,   11.1243,   11.1241,
    19.900,   10.8486,   10.8484,
    20.000,   10.6676,   10.6674,
    20.100,   10.5077,   10.5075,
    20.200,   10.3599,   10.3598,
    20.300,   10.2188,   10.2186,
    20.400,   10.0841,   10.0839,
    20.500,    9.9473,    9.9471,
    20.600,    9.8690,    9.8689,
    20.700,    9.6789,    9.6787,
    20.800,    9.5470,    9.5468,
    20.900,    9.4228,    9.4227,
    21.000,    9.3067,    9.3066,
    21.100,    9.2013,    9.2012,
    21.200,    9.1089,    9.1088,
    21.300,    9.0264,    9.0263,
    21.400,    8.9486,    8.9485,
    21.500,    8.8550,    8.8549,
    21.600,    8.8163,    8.8162,
    21.700,    8.7219,    8.7218,
    21.800,    8.5551,    8.5550,
    21.900,    8.4723,    8.4722,
    22.000,    8.3926,    8.3925,
    22.100,    8.3123,    8.3122,
    22.200,    8.2404,    8.2403,
    22.300,    8.1711,    8.1710,
    22.400,    8.0990,    8.0989,
    22.500,    8.0387,    8.0386,
    22.600,    8.0006,    8.0005,
    22.700,    7.8969,    7.8969,
    22.800,    7.7491,    7.7491,
    22.900,    7.6796,    7.6795,
    23.000,    7.6142,    7.6141,
    23.100,    7.5465,    7.5464,
    23.200,    7.4868,    7.4867,
    23.300,    7.4313,    7.4312,
    23.400,    7.3783,    7.3782,
    23.500,    7.3168,    7.3167,
    23.600,    7.2525,    7.2524,
    23.700,    7.1899,    7.1898,
    23.800,    7.1350,    7.1349,
    23.900,    7.0884,    7.0884,
    24.000,    7.0535,    7.0535,
    24.100,    7.0162,    7.0162,
    24.200,    6.9775,    6.9775,
    24.300,    6.9378,    6.9378,
    24.400,    6.8962,    6.8962,
    24.500,    6.8841,    6.8841,
    24.600,    6.8546,    6.8545,
    24.700,    6.8248,    6.8248,
    24.800,    6.7768,    6.7768,
    24.900,    6.7210,    6.7209,
    25.000,    6.6877,    6.6877,
    25.100,    6.6327,    6.6327,
    25.200,    6.6016,    6.6015,
    25.300,    6.5648,    6.5648,
    25.400,    6.5275,    6.5274,
    25.500,    6.4866,    6.4866,
    25.600,    6.4453,    6.4452,
    25.700,    6.4293,    6.4293,
    25.800,    6.4012,    6.4012,
    25.900,    6.3618,    6.3618,
    26.000,    6.3199,    6.3198,
    26.100,    6.3370,    6.3369,
    26.200,    6.2747,    6.2746,
    26.300,    6.2129,    6.2129,
    26.400,    6.1670,    6.1670,
    26.500,    6.1171,    6.1171,
    26.600,    6.1100,    6.1100,
    26.700,    6.0935,    6.0935,
    26.800,    6.0812,    6.0812,
    26.900,    6.0610,    6.0610,
    27.000,    6.0073,    6.0072,
    27.100,    5.9516,    5.9516,
    27.200,    5.8682,    5.8682,
    27.300,    5.8253,    5.8253,
    27.400,    5.7836,    5.7835,
    27.500,    5.7486,    5.7485,
    27.600,    5.7137,    5.7136,
    27.700,    5.6914,    5.6914,
    27.800,    5.6551,    5.6550,
    27.900,    5.6193,    5.6193,
    28.000,    5.5858,    5.5858,
    28.100,    5.5553,    5.5553,
    28.200,    5.5204,    5.5204,
    28.300,    5.4934,    5.4933,
    28.400,    5.4661,    5.4660,
    28.500,    5.4479,    5.4479,
    28.600,    5.4344,    5.4343,
    28.700,    5.4168,    5.4168,
    28.800,    5.3896,    5.3896,
    28.900,    5.3378,    5.3377,
    29.000,    5.3051,    5.3051,
    29.100,    5.2781,    5.2781,
    29.200,    5.2509,    5.2508,
    29.300,    5.2231,    5.2231,
    29.400,    5.1956,    5.1956,
    29.500,    5.1737,    5.1737,
    29.600,    5.1621,    5.1621,
    29.700,    5.1493,    5.1493,
    29.800,    5.1292,    5.1292,
    29.900,    5.0870,    5.0870,
    30.000,    5.0303,    5.0303,
    30.100,    4.9972,    4.9971,
    30.200,    4.9603,    4.9602,
    30.300,    4.9211,    4.9210,
    30.400,    4.8799,    4.8798,
    30.500,    4.8433,    4.8432,
    30.600,    4.8169,    4.8169,
    30.700,    4.7878,    4.7878,
    30.800,    4.7464,    4.7464,
    30.900,    4.7063,    4.7062,
    31.000,    4.6831,    4.6830,
    31.100,    4.6617,    4.6616,
    31.200,    4.6317,    4.6317,
    31.300,    4.6439,    4.6438,
    31.400,    4.5991,    4.5990,
    31.500,    4.5497,    4.5497,
    31.600,    4.5010,    4.5009,
    31.700,    4.4495,    4.4494,
    31.800,    4.3966,    4.3966,
    31.900,    4.3443,    4.3442,
    32.000,    4.2927,    4.2927,
    32.100,    4.2397,    4.2396,
    32.200,    4.1793,    4.1793,
    32.300,    4.1193,    4.1192,
    32.400,    4.1044,    4.1044,
    32.500,    4.0653,    4.0652,
    32.600,    4.0306,    4.0306,
    32.700,    4.0434,    4.0433,
    32.800,    4.0131,    4.0131,
    32.900,    3.9785,    3.9784,
    33.000,    3.9397,    3.9396,
    33.100,    3.9518,    3.9518,
    33.200,    3.9100,    3.9099,
    33.300,    3.8681,    3.8680,
    33.400,    3.8301,    3.8300,
    33.500,    3.8416,    3.8416,
    33.600,    3.8161,    3.8160,
    33.700,    3.7803,    3.7802,
    33.800,    3.6778,    3.6777,
    33.900,    3.6266,    3.6265,
    34.000,    3.5781,    3.5781,
    34.100,    3.5334,    3.5334,
    34.200,    3.4899,    3.4899,
    34.300,    3.4507,    3.4507,
    34.400,    3.4138,    3.4138,
    34.500,    3.3826,    3.3825,
    34.600,    3.3598,    3.3598,
    34.700,    3.3415,    3.3415,
    34.800,    3.3374,    3.3374,
    34.900,    3.3243,    3.3243,
    35.000,    3.3049,    3.3049,
    35.100,    3.2773,    3.2773,
    35.200,    3.2550,    3.2549,
    35.300,    3.2360,    3.2359,
    35.400,    3.2249,    3.2249,
    35.500,    3.2237,    3.2237,
    35.600,    3.2188,    3.2188,
    35.700,    3.2154,    3.2154,
    35.800,    3.2175,    3.2175,
    35.900,    3.2194,    3.2194,
    36.000,    3.2232,    3.2232,
    36.100,    3.2235,    3.2235,
    36.200,    3.2209,    3.2209,
    36.300,    3.2171,    3.2170,
    36.400,    3.2086,    3.2086,
    36.500,    3.2005,    3.2005,
    36.600,    3.1952,    3.1952,
    36.700,    3.1923,    3.1923,
    36.800,    3.1881,    3.1881,
    36.900,    3.1810,    3.1809,
    37.000,    3.1700,    3.1700,
    37.100,    3.1527,    3.1527,
    37.200,    3.1256,    3.1256,
    37.300,    3.1003,    3.1003,
    37.400,    3.1268,    3.1268,
    37.500,    3.1183,    3.1183,
    37.600,    3.0773,    3.0772,
    37.700,    3.0776,    3.0776,
    37.800,    3.0731,    3.0730,
    37.900,    3.0549,    3.0549,
    38.000,    3.0285,    3.0285,
    38.100,    3.0045,    3.0045,
    38.200,    2.9816,    2.9816,
    38.300,    2.9606,    2.9605,
    38.400,    2.9372,    2.9371,
    38.500,    2.9057,    2.9057,
    38.600,    2.8637,    2.8636,
    38.700,    2.8441,    2.8441,
    38.800,    2.8429,    2.8428,
    38.900,    2.8542,    2.8542,
    39.000,    2.8685,    2.8684,
    39.100,    2.8814,    2.8813,
    39.200,    2.8892,    2.8891,
    39.300,    2.6244,    2.6244,
    39.400,    2.5783,    2.5782,
    39.500,    2.5419,    2.5419,
    39.600,    2.5197,    2.5197,
    39.700,    2.5415,    2.5415,
    39.800,    2.5522,    2.5522,
    39.900,    2.5397,    2.5397,
    40.000,    2.5203,    2.5203,
    40.100,    2.4956,    2.4956,
    40.200,    2.5386,    2.5386,
    40.300,    2.5176,    2.5176,
    40.400,    2.5026,    2.5025,
    40.500,    2.4949,    2.4949,
    40.600,    2.4571,    2.4571,
    40.700,    2.5196,    2.5196,
    40.800,    2.5277,    2.5277,
    40.900,    2.5283,    2.5283,
    41.000,    2.5235,    2.5235,
    41.100,    2.5144,    2.5144,
    41.200,    2.4660,    2.4660,
    41.300,    2.4172,    2.4172,
    41.400,    2.3985,    2.3985,
    41.500,    2.4081,    2.4081,
    41.600,    2.3077,    2.3077,
    41.700,    2.5140,    2.5140,
    41.800,    2.4809,    2.4809,
    41.900,    2.4204,    2.4204,
    42.000,    2.3595,    2.3594,
    42.100,    2.2867,    2.2867,
    42.200,    2.2212,    2.2212,
    42.300,    2.1082,    2.1082,
    42.400,    2.0123,    2.0123,
    42.500,    1.9779,    1.9779,
    42.600,    1.9680,    1.9679,
    42.700,    1.9981,    1.9981,
    42.800,    1.9675,    1.9675,
    42.900,    1.7767,    1.7767,
    43.000,    1.7094,    1.7094,
    43.100,    1.7042,    1.7042,
    43.200,    1.6596,    1.6595,
    43.300,    1.6316,    1.6315,
    43.400,    1.6118,    1.6118,
    43.500,    1.5990,    1.5990,
    43.600,    1.5935,    1.5934,
    43.700,    1.6037,    1.6037,
    43.800,    1.5388,    1.5388,
    43.900,    1.5223,    1.5223,
    44.000,    1.5378,    1.5378,
    44.100,    1.5270,    1.5270,
    44.200,    1.5382,    1.5382,
    44.300,    1.5263,    1.5263,
    44.400,    1.5152,    1.5152,
    44.500,    1.5060,    1.5060,
    44.600,    1.5161,    1.5161,
    44.700,    1.4176,    1.4176,
    44.800,    1.4212,    1.4212,
    44.900,    1.4239,    1.4239,
