$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    11.500,   22.6010,    8.0929,   15.6873,    3.3844,
    11.600,   22.5750,    8.1417,   15.8193,    3.4096,
    11.700,   22.5397,    8.1761,   16.1003,    3.4487,
    11.800,   22.4948,    8.1903,   16.5297,    3.5018,
    11.900,   22.4654,    8.2269,   16.6569,    3.5270,
    12.000,   22.4451,    8.2762,   16.6986,    3.5412,
    12.100,   22.4205,    8.3213,   16.8071,    3.5616,
    12.200,   22.3934,    8.3611,   16.8781,    3.5803,
    12.300,   22.3637,    8.3938,   16.9526,    3.6012,
    12.400,   22.3447,    8.4412,   16.8113,    3.6010,
    12.500,   22.3365,    8.5104,   16.4360,    3.5766,
    12.600,   22.3231,    8.5679,   16.1640,    3.5628,
    12.700,   22.2958,    8.5929,   16.2114,    3.5822,
    12.800,   22.2617,    8.5970,   16.4796,    3.6253,
    12.900,   22.2326,    8.6028,   16.6129,    3.6543,
    13.000,   22.2130,    8.6264,   16.5651,    3.6633,
    13.100,   22.2019,    8.6703,   16.4167,    3.6609,
    13.200,   22.1956,    8.7282,   16.2117,    3.6511,
    13.300,   22.1922,    8.7993,   16.0260,    3.6393,
    13.400,   22.1923,    8.8864,   15.8211,    3.6224,
    13.500,   22.2000,    8.9891,   15.4433,    3.5890,
    13.600,   22.2013,    9.0800,   15.2384,    3.5726,
    13.700,   22.1931,    9.1469,   15.1957,    3.5740,
    13.800,   22.1749,    9.1899,   15.3237,    3.5919,
    13.900,   22.1674,    9.2609,   15.2407,    3.5866,
    14.000,   22.1612,    9.3334,   15.1412,    3.5810,
    14.100,   22.1528,    9.4010,   15.1154,    3.5828,
    14.200,   22.1499,    9.4804,   14.9818,    3.5733,
    14.300,   22.1487,    9.5648,   14.8398,    3.5625,
    14.400,   22.1494,    9.6538,   14.6838,    3.5500,
    14.500,   22.1588,    9.7591,   14.3308,    3.5189,
    14.600,   22.1649,    9.8592,   14.0756,    3.4966,
    14.700,   22.1614,    9.9426,   14.0474,    3.4955,
    14.800,   22.1539,   10.0195,   14.0757,    3.4986,
    14.900,   22.1504,   10.1048,   14.0390,    3.4958,
    15.000,   22.1454,   10.1887,   14.0548,    3.4976,
    15.100,   22.1415,   10.2766,   14.0803,    3.4995,
    15.200,   22.1395,   10.3665,   14.0656,    3.4973,
    15.300,   22.1445,   10.4623,   13.8683,    3.4777,
    15.400,   22.1498,   10.5557,   13.6612,    3.4569,
    15.500,   22.1549,   10.6477,   13.4648,    3.4370,
    15.600,   22.1597,   10.7403,   13.2795,    3.4183,
    15.700,   22.1649,   10.8319,   13.0701,    3.3975,
    15.800,   22.1698,   10.9221,   12.8489,    3.3758,
    15.900,   22.1713,   11.0127,   12.7426,    3.3656,
    16.000,   22.1726,   11.0968,   12.6252,    3.3558,
    16.100,   22.1753,   11.1775,   12.4600,    3.3408,
    16.200,   22.1785,   11.2601,   12.3010,    3.3267,
    16.300,   22.1824,   11.3417,   12.1387,    3.3117,
    16.400,   22.1868,   11.4226,   11.9762,    3.2964,
    16.500,   22.1914,   11.5023,   11.8163,    3.2806,
    16.600,   22.1950,   11.5882,   11.6860,    3.2683,
    16.700,   22.1982,   11.6745,   11.5637,    3.2566,
    16.800,   22.2011,   11.7605,   11.4505,    3.2458,
    16.900,   22.2044,   11.8445,   11.3371,    3.2347,
    17.000,   22.2081,   11.9258,   11.2157,    3.2222,
    17.100,   22.2102,   12.0059,   11.0988,    3.2100,
    17.200,   22.2114,   12.0852,   10.9883,    3.1984,
    17.300,   22.2119,   12.1645,   10.8840,    3.1876,
    17.400,   22.2120,   12.2446,   10.7844,    3.1772,
    17.500,   22.2133,   12.3241,   10.6815,    3.1661,
    17.600,   22.2153,   12.4067,   10.5957,    3.1572,
    17.700,   22.2176,   12.4908,   10.5104,    3.1491,
    17.800,   22.2196,   12.5720,   10.3885,    3.1374,
    17.900,   22.2220,   12.6548,   10.3259,    3.1315,
    18.000,   22.2255,   12.7366,   10.2298,    3.1217,
    18.100,   22.2303,   12.8163,   10.1252,    3.1106,
    18.200,   22.2351,   12.8945,   10.0177,    3.0988,
    18.300,   22.2398,   12.9711,    9.9095,    3.0865,
    18.400,   22.2451,   13.0475,    9.8012,    3.0739,
    18.500,   22.2511,   13.1247,    9.6982,    3.0618,
    18.600,   22.2573,   13.2020,    9.5967,    3.0498,
    18.700,   22.2636,   13.2798,    9.4932,    3.0378,
    18.800,   22.2702,   13.3528,    9.3476,    3.0209,
    18.900,   22.2747,   13.4354,    9.2683,    3.0113,
    19.000,   22.2809,   13.5129,    9.1704,    2.9991,
    19.100,   22.2876,   13.5859,    9.0547,    2.9844,
    19.200,   22.2953,   13.6554,    8.9299,    2.9683,
    19.300,   22.3036,   13.7215,    8.7981,    2.9511,
    19.400,   22.3108,   13.7903,    8.6787,    2.9355,
    19.500,   22.3147,   13.8697,    8.5876,    2.9240,
    19.600,   22.3225,   13.9380,    8.4974,    2.9112,
    19.700,   22.3335,   13.9965,    8.3926,    2.8956,
    19.800,   22.3510,   14.0374,    8.2625,    2.8749,
    19.900,   22.3750,   14.0530,    8.0725,    2.8451,
    20.000,   22.3946,   14.0863,    7.9285,    2.8221,
    20.100,   22.4111,   14.1261,    7.7959,    2.8010,
    20.200,   22.4262,   14.1691,    7.6724,    2.7813,
    20.300,   22.4411,   14.2130,    7.5543,    2.7621,
    20.400,   22.4554,   14.2591,    7.4415,    2.7437,
    20.500,   22.4706,   14.3040,    7.3316,    2.7254,
    20.600,   22.4754,   14.3771,    7.2487,    2.7134,
    20.700,   22.5033,   14.3912,    7.1194,    2.6891,
    20.800,   22.5203,   14.4322,    7.0114,    2.6705,
    20.900,   22.5366,   14.4746,    6.9073,    2.6524,
    21.000,   22.5516,   14.5197,    6.8079,    2.6352,
    21.100,   22.5626,   14.5659,    6.7126,    2.6185,
    21.200,   22.5714,   14.6174,    6.6243,    2.6033,
    21.300,   22.5773,   14.6759,    6.5429,    2.5897,
    21.400,   22.5819,   14.7361,    6.4640,    2.5765,
    21.500,   22.5905,   14.7893,    6.3837,    2.5624,
    21.600,   22.5842,   14.8767,    6.3278,    2.5549,
    21.700,   22.5998,   14.9212,    6.2530,    2.5403,
    21.800,   22.6285,   14.9289,    6.1398,    2.5170,
    21.900,   22.6382,   14.9807,    6.0610,    2.5028,
    22.000,   22.6465,   15.0350,    5.9845,    2.4892,
    22.100,   22.6573,   15.0904,    5.9110,    2.4760,
    22.200,   22.6648,   15.1526,    5.8433,    2.4642,
    22.300,   22.6712,   15.2164,    5.7791,    2.4531,
    22.400,   22.6792,   15.2766,    5.7156,    2.4419,
    22.500,   22.6834,   15.3456,    5.6595,    2.4323,
    22.600,   22.6871,   15.4197,    5.6154,    2.4248,
    22.700,   22.7113,   15.4503,    5.5450,    2.4094,
    22.800,   22.7410,   15.4613,    5.4494,    2.3890,
    22.900,   22.7520,   15.5178,    5.3873,    2.3774,
    23.000,   22.7614,   15.5766,    5.3269,    2.3664,
    23.100,   22.7742,   15.6334,    5.2667,    2.3551,
    23.200,   22.7840,   15.6968,    5.2106,    2.3450,
    23.300,   22.7922,   15.7640,    5.1580,    2.3356,
    23.400,   22.7997,   15.8330,    5.1088,    2.3268,
    23.500,   22.8106,   15.8941,    5.0597,    2.3172,
    23.600,   22.8226,   15.9518,    5.0114,    2.3075,
    23.700,   22.8350,   16.0090,    4.9629,    2.2977,
    23.800,   22.8443,   16.0726,    4.9167,    2.2890,
    23.900,   22.8523,   16.1404,    4.8728,    2.2809,
    24.000,   22.8559,   16.2194,    4.8324,    2.2742,
    24.100,   22.8613,   16.2947,    4.7917,    2.2671,
    24.200,   22.8666,   16.3702,    4.7514,    2.2601,
    24.300,   22.8717,   16.4450,    4.7116,    2.2532,
    24.400,   22.8779,   16.5151,    4.6715,    2.2459,
    24.500,   22.8636,   16.6400,    4.6431,    2.2446,
    24.600,   22.8739,   16.7033,    4.6115,    2.2378,
    24.700,   22.8843,   16.7667,    4.5790,    2.2309,
    24.800,   22.8993,   16.8171,    4.5362,    2.2214,
    24.900,   22.9135,   16.8653,    4.4857,    2.2111,
    25.000,   22.9203,   16.9354,    4.4526,    2.2049,
    25.100,   22.9131,   17.0263,    4.4076,    2.1990,
    25.200,   22.9199,   17.0823,    4.3752,    2.1923,
    25.300,   22.9244,   17.1434,    4.3405,    2.1857,
    25.400,   22.9301,   17.2039,    4.3078,    2.1794,
    25.500,   22.9321,   17.2736,    4.2730,    2.1735,
    25.600,   22.9310,   17.3528,    4.2415,    2.1689,
    25.700,   22.9467,   17.3962,    4.2247,    2.1639,
    25.800,   22.9600,   17.4400,    4.2002,    2.1578,
    25.900,   22.9623,   17.5051,    4.1663,    2.1517,
    26.000,   22.9638,   17.5702,    4.1317,    2.1457,
    26.100,   22.9918,   17.6000,    4.1301,    2.1414,
    26.200,   22.9905,   17.6699,    4.0907,    2.1350,
    26.300,   22.9869,   17.7437,    4.0511,    2.1286,
    26.400,   22.9854,   17.8169,    4.0167,    2.1228,
    26.500,   22.9698,   17.9089,    3.9806,    2.1199,
    26.600,   22.9746,   17.9804,    3.9663,    2.1170,
    26.700,   22.9782,   18.0502,    3.9472,    2.1135,
    26.800,   22.9856,   18.1159,    3.9281,    2.1094,
    26.900,   23.0139,   18.1467,    3.9011,    2.0998,
    27.000,   23.0144,   18.2112,    3.8631,    2.0927,
    27.100,   23.0137,   18.2846,    3.8258,    2.0865,
    27.200,   23.0142,   18.3549,    3.7838,    2.0790,
    27.300,   23.0195,   18.4126,    3.7484,    2.0724,
    27.400,   23.0229,   18.4682,    3.7110,    2.0659,
    27.500,   23.0241,   18.5272,    3.6748,    2.0600,
    27.600,   23.0242,   18.5926,    3.6440,    2.0551,
    27.700,   23.0282,   18.6642,    3.6206,    2.0503,
    27.800,   23.0355,   18.7331,    3.5883,    2.0430,
    27.900,   23.0383,   18.8091,    3.5618,    2.0376,
    28.000,   23.0408,   18.8876,    3.5363,    2.0322,
    28.100,   23.0435,   18.9675,    3.5112,    2.0267,
    28.200,   23.0465,   19.0477,    3.4869,    2.0215,
    28.300,   23.0550,   19.1366,    3.4759,    2.0174,
    28.400,   23.0565,   19.2182,    3.4528,    2.0129,
    28.500,   23.0578,   19.3023,    3.4339,    2.0093,
    28.600,   23.0590,   19.3885,    3.4171,    2.0061,
    28.700,   23.0606,   19.4720,    3.3978,    2.0023,
    28.800,   23.0628,   19.5494,    3.3729,    1.9970,
    28.900,   23.0666,   19.6182,    3.3384,    1.9897,
    29.000,   23.0689,   19.6943,    3.3194,    1.9857,
    29.100,   23.0719,   19.7667,    3.2972,    1.9809,
    29.200,   23.0752,   19.8389,    3.2750,    1.9759,
    29.300,   23.0788,   19.9111,    3.2523,    1.9707,
    29.400,   23.0829,   19.9830,    3.2300,    1.9655,
    29.500,   23.0870,   20.0567,    3.2108,    1.9609,
    29.600,   23.0900,   20.1383,    3.1972,    1.9576,
    29.700,   23.0924,   20.2223,    3.1828,    1.9545,
    29.800,   23.0950,   20.3035,    3.1640,    1.9503,
    29.900,   23.0997,   20.3747,    3.1329,    1.9437,
    30.000,   23.1063,   20.4366,    3.0940,    1.9363,
    30.100,   23.1113,   20.5001,    3.0657,    1.9315,
    30.200,   23.1178,   20.5658,    3.0345,    1.9257,
    30.300,   23.1254,   20.6339,    3.0015,    1.9195,
    30.400,   23.1340,   20.7023,    2.9672,    1.9126,
    30.500,   23.1422,   20.7657,    2.9352,    1.9058,
    30.600,   23.1458,   20.8290,    2.9090,    1.9002,
    30.700,   23.1523,   20.8849,    2.8819,    1.8939,
    30.800,   23.1608,   20.9295,    2.8480,    1.8857,
    30.900,   23.1706,   20.9667,    2.8135,    1.8772,
    31.000,   23.1788,   21.0137,    2.7859,    1.8706,
    31.100,   23.1859,   21.0676,    2.7613,    1.8648,
    31.200,   23.1929,   21.1217,    2.7333,    1.8582,
    31.300,   23.1958,   21.2021,    2.7187,    1.8556,
    31.400,   23.2062,   21.2357,    2.6819,    1.8468,
    31.500,   23.2155,   21.2756,    2.6474,    1.8391,
    31.600,   23.2257,   21.3080,    2.6095,    1.8302,
    31.700,   23.2385,   21.3294,    2.5686,    1.8200,
    31.800,   23.2514,   21.3529,    2.5289,    1.8104,
    31.900,   23.2655,   21.3690,    2.4863,    1.7994,
    32.000,   23.2782,   21.3955,    2.4483,    1.7899,
    32.100,   23.2909,   21.4134,    2.4079,    1.7791,
    32.200,   23.3055,   21.4221,    2.3630,    1.7663,
    32.300,   23.3172,   21.4349,    2.3182,    1.7536,
    32.400,   23.3244,   21.4856,    2.2933,    1.7470,
    32.500,   23.3351,   21.5152,    2.2592,    1.7373,
