$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:408.     

JDAY,T(C)
     1.000,    6.70
     1.100,    6.69
     1.200,    6.68
     1.300,    6.68
     1.400,    6.67
     1.500,    6.66
     1.600,    6.66
     1.700,    6.66
     1.800,    6.65
     1.900,    6.65
     2.000,    6.64
     2.100,    6.63
     2.200,    6.63
     2.300,    6.62
     2.400,    6.61
     2.500,    6.61
     2.600,    6.61
     2.700,    6.61
     2.800,    6.61
     2.900,    6.61
     3.000,    6.60
     3.100,    6.59
     3.200,    6.58
     3.300,    6.57
     3.400,    6.57
     3.500,    6.57
     3.600,    6.57
     3.700,    6.57
     3.800,    6.56
     3.900,    6.56
     4.000,    6.55
     4.100,    6.54
     4.200,    6.53
     4.300,    6.52
     4.400,    6.51
     4.500,    6.50
     4.600,    6.50
     4.700,    6.49
     4.800,    6.48
     4.900,    6.47
     5.000,    6.46
     5.100,    6.44
     5.200,    6.43
     5.300,    6.42
     5.400,    6.41
     5.500,    6.40
     5.600,    6.40
     5.700,    6.39
     5.800,    6.37
     5.900,    6.36
     6.000,    6.35
     6.100,    6.34
     6.200,    6.33
     6.300,    6.32
     6.400,    6.31
     6.500,    6.30
     6.600,    6.30
     6.700,    6.29
     6.800,    6.28
     6.900,    6.27
     7.000,    6.26
     7.100,    6.26
     7.200,    6.25
     7.300,    6.23
     7.400,    6.22
     7.500,    6.22
     7.600,    6.21
     7.700,    6.20
     7.800,    6.18
     7.900,    6.17
     8.000,    6.15
     8.100,    6.14
     8.200,    6.13
     8.300,    6.11
     8.400,    6.10
     8.500,    6.09
     8.600,    6.08
     8.700,    6.07
     8.800,    6.06
     8.900,    6.05
     9.000,    6.04
     9.100,    6.04
     9.200,    6.03
     9.300,    6.02
     9.400,    6.02
     9.500,    6.02
     9.600,    6.02
     9.700,    6.01
     9.800,    6.01
     9.900,    6.00
    10.000,    5.99
    10.100,    5.99
    10.200,    5.98
    10.300,    5.97
    10.400,    5.97
    10.500,    5.96
    10.600,    5.96
    10.700,    5.96
    10.800,    5.96
    10.900,    5.95
    11.000,    5.95
    11.100,    5.94
    11.200,    5.93
    11.300,    5.92
    11.400,    5.91
    11.500,    5.90
    11.600,    5.89
    11.700,    5.89
    11.800,    5.88
    11.900,    5.87
    12.000,    5.86
    12.100,    5.86
    12.200,    5.85
    12.300,    5.84
    12.400,    5.83
    12.500,    5.82
    12.600,    5.81
    12.700,    5.81
    12.800,    5.80
    12.900,    5.79
    13.000,    5.78
    13.100,    5.77
    13.200,    5.76
    13.300,    5.75
    13.400,    5.74
    13.500,    5.73
    13.600,    5.73
    13.700,    5.73
    13.800,    5.72
    13.900,    5.72
    14.000,    5.71
    14.100,    5.71
    14.200,    5.70
    14.300,    5.69
    14.400,    5.68
    14.500,    5.67
    14.600,    5.66
    14.700,    5.67
    14.800,    5.67
    14.900,    5.66
    15.000,    5.65
    15.100,    5.63
    15.200,    5.61
    15.300,    5.60
    15.400,    5.59
    15.500,    5.59
    15.600,    5.59
    15.700,    5.58
    15.800,    5.58
    15.900,    5.57
    16.000,    5.55
    16.100,    5.54
    16.200,    5.53
    16.300,    5.52
    16.400,    5.51
    16.500,    5.50
    16.600,    5.49
    16.700,    5.49
    16.800,    5.48
    16.900,    5.47
    17.000,    5.46
    17.100,    5.45
    17.200,    5.44
    17.300,    5.43
    17.400,    5.42
    17.500,    5.42
    17.600,    5.41
    17.700,    5.41
    17.800,    5.40
    17.900,    5.39
    18.000,    5.38
    18.100,    5.37
    18.200,    5.36
    18.300,    5.35
    18.400,    5.34
    18.500,    5.34
    18.600,    5.33
    18.700,    5.33
    18.800,    5.32
    18.900,    5.31
    19.000,    5.30
    19.100,    5.29
    19.200,    5.28
    19.300,    5.27
    19.400,    5.26
    19.500,    5.25
    19.600,    5.25
    19.700,    5.24
    19.800,    5.23
    19.900,    5.21
    20.000,    5.19
    20.100,    5.18
    20.200,    5.16
    20.300,    5.15
    20.400,    5.14
    20.500,    5.13
    20.600,    5.12
    20.700,    5.11
    20.800,    5.09
    20.900,    5.08
    21.000,    5.07
    21.100,    5.06
    21.200,    5.04
    21.300,    5.03
    21.400,    5.02
    21.500,    5.01
    21.600,    5.01
    21.700,    5.00
    21.800,    4.98
    21.900,    4.97
    22.000,    4.96
    22.100,    4.94
    22.200,    4.93
    22.300,    4.92
    22.400,    4.90
    22.500,    4.90
    22.600,    4.89
    22.700,    4.88
    22.800,    4.87
    22.900,    4.86
    23.000,    4.85
    23.100,    4.84
    23.200,    4.83
    23.300,    4.82
    23.400,    4.81
    23.500,    4.80
    23.600,    4.79
    23.700,    4.78
    23.800,    4.77
    23.900,    4.76
    24.000,    4.76
    24.100,    4.75
    24.200,    4.74
    24.300,    4.74
    24.400,    4.73
    24.500,    4.73
    24.600,    4.73
    24.700,    4.72
    24.800,    4.71
    24.900,    4.70
    25.000,    4.70
    25.100,    4.69
    25.200,    4.69
    25.300,    4.68
    25.400,    4.67
    25.500,    4.66
    25.600,    4.66
    25.700,    4.65
    25.800,    4.64
    25.900,    4.63
    26.000,    4.62
    26.100,    4.61
    26.200,    4.59
    26.300,    4.58
    26.400,    4.57
    26.500,    4.57
    26.600,    4.57
    26.700,    4.57
    26.800,    4.56
    26.900,    4.54
    27.000,    4.53
    27.100,    4.52
    27.200,    4.51
    27.300,    4.50
    27.400,    4.48
    27.500,    4.48
    27.600,    4.47
    27.700,    4.47
    27.800,    4.46
    27.900,    4.45
    28.000,    4.44
    28.100,    4.43
    28.200,    4.42
    28.300,    4.41
    28.400,    4.40
    28.500,    4.40
    28.600,    4.40
    28.700,    4.40
    28.800,    4.39
    28.900,    4.38
    29.000,    4.37
    29.100,    4.36
    29.200,    4.35
    29.300,    4.34
    29.400,    4.33
    29.500,    4.33
    29.600,    4.33
    29.700,    4.33
    29.800,    4.32
    29.900,    4.32
    30.000,    4.30
    30.100,    4.29
    30.200,    4.28
    30.300,    4.27
    30.400,    4.25
    30.500,    4.25
    30.600,    4.24
    30.700,    4.24
    30.800,    4.23
    30.900,    4.22
    31.000,    4.21
    31.100,    4.20
    31.200,    4.20
    31.300,    4.20
    31.400,    4.19
    31.500,    4.18
    31.600,    4.17
    31.700,    4.15
    31.800,    4.14
    31.900,    4.13
    32.000,    4.12
    32.100,    4.10
    32.200,    4.08
    32.300,    4.07
    32.400,    4.06
    32.500,    4.05
    32.600,    4.04
    32.700,    4.05
    32.800,    4.04
    32.900,    4.03
    33.000,    4.02
    33.100,    4.03
    33.200,    4.02
    33.300,    4.01
    33.400,    4.00
    33.500,    4.01
    33.600,    4.00
    33.700,    4.00
    33.800,    3.97
    33.900,    3.96
    34.000,    3.95
    34.100,    3.94
    34.200,    3.93
    34.300,    3.92
    34.400,    3.91
    34.500,    3.91
    34.600,    3.91
    34.700,    3.90
    34.800,    3.91
    34.900,    3.91
    35.000,    3.90
    35.100,    3.90
    35.200,    3.90
    35.300,    3.89
    35.400,    3.89
    35.500,    3.90
    35.600,    3.90
    35.700,    3.90
    35.800,    3.90
    35.900,    3.91
    36.000,    3.91
    36.100,    3.91
    36.200,    3.92
    36.300,    3.92
    36.400,    3.92
    36.500,    3.92
    36.600,    3.92
    36.700,    3.92
    36.800,    3.93
    36.900,    3.93
    37.000,    3.93
    37.100,    3.93
    37.200,    3.92
    37.300,    3.92
    37.400,    3.93
    37.500,    3.93
    37.600,    3.92
    37.700,    3.92
    37.800,    3.92
    37.900,    3.92
    38.000,    3.92
    38.100,    3.92
    38.200,    3.91
    38.300,    3.91
    38.400,    3.91
    38.500,    3.90
    38.600,    3.89
    38.700,    3.89
    38.800,    3.90
    38.900,    3.90
    39.000,    3.91
    39.100,    3.92
    39.200,    3.92
    39.300,    3.85
    39.400,    3.84
    39.500,    3.84
    39.600,    3.83
    39.700,    3.84
    39.800,    3.85
    39.900,    3.85
    40.000,    3.84
    40.100,    3.84
    40.200,    3.85
    40.300,    3.85
    40.400,    3.85
    40.500,    3.85
    40.600,    3.84
    40.700,    3.86
    40.800,    3.87
    40.900,    3.87
    41.000,    3.87
    41.100,    3.87
    41.200,    3.86
    41.300,    3.85
    41.400,    3.85
    41.500,    3.86
    41.600,    3.84
    41.700,    3.90
    41.800,    3.89
    41.900,    3.88
    42.000,    3.87
    42.100,    3.85
    42.200,    3.84
    42.300,    3.81
    42.400,    3.79
    42.500,    3.79
    42.600,    3.79
    42.700,    3.80
    42.800,    3.79
    42.900,    3.75
    43.000,    3.74
    43.100,    3.74
    43.200,    3.72
    43.300,    3.72
    43.400,    3.71
    43.500,    3.71
    43.600,    3.71
    43.700,    3.71
    43.800,    3.70
    43.900,    3.70
    44.000,    3.70
    44.100,    3.70
    44.200,    3.70
    44.300,    3.70
    44.400,    3.69
    44.500,    3.69
    44.600,    3.70
    44.700,    3.69
    44.800,    3.69
    44.900,    3.69
    45.000,    3.69
    45.100,    3.69
    45.200,    3.69
    45.300,    3.68
    45.400,    3.68
    45.500,    3.68
    45.600,    3.70
    45.700,    3.72
    45.800,    3.73
    45.900,    3.73
    46.000,    3.73
    46.100,    3.73
    46.200,    3.73
    46.300,    3.73
    46.400,    3.73
    46.500,    3.73
    46.600,    3.76
    46.700,    3.77
    46.800,    3.78
    46.900,    3.78
    47.000,    3.78
    47.100,    3.78
    47.200,    3.78
    47.300,    3.78
    47.400,    3.77
    47.500,    3.77
    47.600,    3.77
    47.700,    3.79
    47.800,    3.79
    47.900,    3.80
    48.000,    3.80
    48.100,    3.79
    48.200,    3.79
    48.300,    3.79
    48.400,    3.79
    48.500,    3.79
    48.600,    3.79
    48.700,    3.80
    48.800,    3.80
    48.900,    3.80
    49.000,    3.81
    49.100,    3.81
    49.200,    3.81
    49.300,    3.81
    49.400,    3.80
    49.500,    3.82
    49.600,    3.83
    49.700,    3.84
    49.800,    3.85
    49.900,    3.85
    50.000,    3.85
    50.100,    3.85
    50.200,    3.85
    50.300,    3.85
    50.400,    3.86
    50.500,    3.86
    50.600,    3.87
    50.700,    3.87
    50.800,    3.88
    50.900,    3.88
    51.000,    3.88
    51.100,    3.87
    51.200,    3.87
    51.300,    3.87
    51.400,    3.88
    51.500,    3.88
    51.600,    3.89
    51.700,    3.90
    51.800,    3.91
    51.900,    3.91
    52.000,    3.91
    52.100,    3.91
    52.200,    3.91
    52.300,    3.91
    52.400,    3.92
    52.500,    3.92
    52.600,    3.93
    52.700,    3.95
    52.800,    3.94
    52.900,    3.94
    53.000,    3.94
    53.100,    3.94
    53.200,    3.94
    53.300,    3.94
    53.400,    3.94
    53.500,    3.94
    53.600,    3.94
    53.700,    3.94
    53.800,    3.95
    53.900,    3.95
    54.000,    3.94
    54.100,    3.94
    54.200,    3.94
    54.300,    3.94
    54.400,    3.94
    54.500,    3.94
    54.600,    3.94
    54.700,    3.94
    54.800,    3.94
    54.900,    3.95
    55.000,    3.95
    55.100,    3.95
    55.200,    3.96
    55.300,    3.96
    55.400,    3.97
    55.500,    3.97
    55.600,    3.98
    55.700,    3.98
    55.800,    3.99
    55.900,    3.99
    56.000,    4.00
    56.100,    4.00
    56.200,    4.01
    56.300,    4.02
    56.400,    4.02
    56.500,    4.03
    56.600,    4.03
    56.700,    4.03
    56.800,    4.04
    56.900,    4.04
    57.000,    4.04
    57.100,    4.04
    57.200,    4.04
    57.300,    4.04
    57.400,    4.04
    57.500,    4.04
    57.600,    4.04
    57.700,    4.04
    57.800,    4.04
    57.900,    4.04
    58.000,    4.04
    58.100,    4.05
    58.200,    4.05
    58.300,    4.06
    58.400,    4.07
    58.500,    4.08
    58.600,    4.10
    58.700,    4.11
    58.800,    4.12
    58.900,    4.12
    59.000,    4.13
    59.100,    4.13
    59.200,    4.13
    59.300,    4.14
    59.400,    4.14
    59.500,    4.15
    59.600,    4.19
    59.700,    4.25
    59.800,    4.29
    59.900,    4.32
    60.000,    4.33
    60.100,    4.34
    60.200,    4.34
    60.300,    4.35
    60.400,    4.36
    60.500,    4.36
    60.600,    4.36
    60.700,    4.36
    60.800,    4.36
    60.900,    4.36
    61.000,    4.37
    61.100,    4.40
    61.200,    4.44
    61.300,    4.44
    61.400,    4.38
    61.500,    4.36
    61.600,    4.36
    61.700,    4.36
    61.800,    4.37
    61.900,    4.41
    62.000,    4.44
    62.100,    4.48
    62.200,    4.47
    62.300,    4.48
    62.400,    4.45
    62.500,    4.44
    62.600,    4.44
    62.700,    4.44
    62.800,    4.43
    62.900,    4.42
    63.000,    4.42
    63.100,    4.41
    63.200,    4.41
