JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
     1.000,    10.000,   441.090,     6.700,     0.001,     0.000,     0.000,     0.500,    67.340,   401.530,     1.000,     6.700,  -167.936,     0.000,   229.371,   337.950,    34.183,    25.174,    23.000,     0.000,     0.000,     2.500,     2.500,     2.500, 0.000E+00, 0.000E+00,
     1.100,    10.000,   441.111,     6.691,     0.001,     0.000,     0.000,     0.500,    67.361,   401.530,     1.000,     6.691,  -169.584,     0.000,   229.011,   337.909,    34.792,    25.894,    23.001,     0.100,     0.000,     2.496,     2.496,     2.496, 0.000E+00, 0.000E+00,
     1.200,    10.000,   441.133,     6.683,     0.001,     0.000,     0.000,     0.499,    67.383,   401.530,     1.000,     6.683,  -153.862,     0.000,   234.130,   337.869,    30.667,    19.456,    23.002,     0.200,     0.000,     2.492,     2.492,     2.492, 0.000E+00, 0.000E+00,
     1.300,    10.000,   441.154,     6.675,     0.001,     0.000,     0.000,     0.499,    67.404,   401.530,     1.000,     6.675,  -150.900,     0.000,   242.700,   337.831,    31.554,    24.214,    23.003,     0.300,     0.000,     2.488,     2.488,     2.488, 0.000E+00, 0.000E+00,
     1.400,    10.000,   441.176,     6.668,     0.001,     0.000,     8.954,     0.498,    67.426,   401.530,     1.000,     6.668,  -114.091,     8.447,   263.050,   337.797,    27.837,    19.954,    23.004,     0.400,     0.000,     2.484,     2.484,     2.484, 0.000E+00, 0.000E+00,
     1.500,    10.000,   441.199,     6.664,     0.001,     0.000,    36.867,     0.498,    67.449,   401.530,     1.000,     6.664,   -66.597,    34.780,   273.986,   337.775,    25.155,    12.433,    23.005,     0.500,     0.001,     2.480,     2.481,     2.481, 0.000E+00, 0.000E+00,
     1.600,    10.000,   441.226,     6.660,     0.001,     0.000,    60.312,     0.498,    67.476,   401.530,     1.000,     6.660,   -44.032,    56.898,   271.465,   337.758,    25.143,     9.493,    23.006,     0.600,     0.002,     2.476,     2.478,     2.478, 0.000E+00, 0.000E+00,
     1.700,    10.000,   441.257,     6.657,     0.001,     0.000,     9.988,     0.497,    67.507,   401.530,     1.000,     6.657,   -94.493,     9.423,   271.732,   337.743,    28.759,     9.146,    23.007,     0.700,     0.002,     2.472,     2.475,     2.475, 0.000E+00, 0.000E+00,
     1.800,    10.000,   441.293,     6.651,     0.001,     0.000,     0.000,     0.497,    67.543,   401.530,     1.000,     6.651,  -109.850,     0.000,   269.462,   337.715,    31.221,    10.377,    23.008,     0.799,     0.003,     2.468,     2.472,     2.472, 0.000E+00, 0.000E+00,
     1.900,    10.000,   441.333,     6.645,     0.001,     0.000,     0.000,     0.497,    67.583,   401.530,     1.000,     6.645,  -112.800,     0.000,   266.503,   337.685,    30.074,    11.544,    23.010,     0.899,     0.004,     2.464,     2.468,     2.468, 0.000E+00, 0.000E+00,
     2.000,    10.000,   441.374,     6.639,     0.001,     0.000,     0.000,     0.496,    67.624,   401.530,     1.000,     6.639,  -118.182,     0.000,   262.968,   337.653,    30.291,    13.205,    23.011,     0.999,     0.004,     2.460,     2.464,     2.464, 0.000E+00, 0.000E+00,
     2.100,    10.000,   441.383,     6.632,     0.000,     0.000,     0.000,     0.496,    67.633,   401.530,     1.000,     6.632,  -121.682,     0.000,   261.326,   337.621,    31.618,    13.769,    23.012,     1.098,     0.005,     2.456,     2.461,     2.461, 0.000E+00, 0.000E+00,
     2.200,    10.000,   441.378,     6.625,     0.000,     0.000,     0.000,     0.496,    67.628,   401.530,     1.000,     6.625,  -117.469,     0.000,   260.834,   337.588,    28.756,    11.958,    23.013,     1.198,     0.006,     2.451,     2.457,     2.457, 0.000E+00, 0.000E+00,
     2.300,    10.000,   441.375,     6.619,     0.000,     0.000,     0.000,     0.495,    67.625,   401.530,     1.000,     6.619,  -104.671,     0.000,   262.140,   337.557,    24.720,     4.534,    23.014,     1.298,     0.006,     2.447,     2.454,     2.454, 0.000E+00, 0.000E+00,
     2.400,    10.000,   441.375,     6.614,     0.000,     0.000,    47.758,     0.495,    67.625,   401.530,     1.000,     6.614,   -31.259,    45.055,   273.025,   337.535,    18.534,    -6.730,    23.015,     1.397,     0.007,     2.443,     2.450,     2.450, 0.000E+00, 0.000E+00,
     2.500,    10.000,   441.378,     6.639,     0.000,     0.000,   144.423,     0.492,    67.628,   401.530,     1.000,     6.615,   114.490,   136.249,   290.896,   337.654,    -6.289,   -18.710,    23.017,     1.493,     0.015,     2.409,     2.424,     2.424, 0.000E+00, 0.000E+00,
     2.600,    10.000,   441.384,     6.704,     0.000,     0.000,   213.000,     0.490,    67.634,   401.530,     1.000,     6.621,   158.095,   200.943,   275.444,   337.970,     1.374,   -21.052,    23.019,     1.587,     0.025,     2.370,     2.395,     2.395, 0.000E+00, 0.000E+00,
     2.700,    10.000,   441.396,     6.738,     0.000,     0.000,    45.674,     0.487,    67.646,   401.530,     1.000,     6.625,   -27.667,    43.089,   262.963,   338.134,     7.093,   -11.510,    23.021,     1.682,     0.032,     2.336,     2.368,     2.368, 0.000E+00, 0.000E+00,
     2.800,    10.000,   441.411,     6.673,     0.000,     0.000,     0.000,     0.487,    67.661,   401.530,     1.000,     6.618,  -116.084,     0.000,   243.263,   337.819,    15.062,     6.465,    23.021,     1.782,     0.033,     2.334,     2.367,     2.367, 0.000E+00, 0.000E+00,
     2.900,    10.000,   441.430,     6.626,     0.000,     0.000,     0.000,     0.487,    67.680,   401.530,     1.000,     6.611,  -117.248,     0.000,   242.556,   337.591,    15.608,     6.604,    23.021,     1.882,     0.033,     2.339,     2.372,     2.372, 0.000E+00, 0.000E+00,
     3.000,    10.000,   441.451,     6.602,     0.000,     0.000,     0.000,     0.492,    67.701,   401.530,     1.000,     6.602,  -116.473,     0.000,   244.897,   337.479,    15.554,     8.337,    23.020,     1.989,     0.020,     2.395,     2.415,     2.415, 0.000E+00, 0.000E+00,
     3.100,    10.000,   441.466,     6.593,     0.000,     0.000,     0.000,     0.493,    67.716,   401.530,     1.000,     6.593,  -122.373,     0.000,   243.127,   337.434,    18.150,     9.916,    23.029,     2.089,     0.022,     2.412,     2.433,     2.433, 0.000E+00, 0.000E+00,
     3.200,    10.000,   441.476,     6.584,     0.000,     0.000,     0.000,     0.493,    67.726,   401.530,     1.000,     6.584,  -124.903,     0.000,   242.078,   337.389,    18.641,    10.952,    23.033,     2.187,     0.026,     2.406,     2.432,     2.432, 0.000E+00, 0.000E+00,
     3.300,    10.000,   441.488,     6.575,     0.000,     0.000,     0.000,     0.493,    67.738,   401.530,     1.000,     6.575,  -131.809,     0.000,   239.798,   337.345,    20.059,    14.203,    23.035,     2.285,     0.030,     2.401,     2.431,     2.431, 0.000E+00, 0.000E+00,
     3.400,    10.000,   441.499,     6.566,     0.000,     0.000,    51.223,     0.493,    67.749,   401.530,     1.000,     6.566,   -72.904,    48.323,   246.154,   337.306,    19.335,    10.741,    23.038,     2.383,     0.034,     2.396,     2.430,     2.430, 0.000E+00, 0.000E+00,
     3.500,    10.000,   441.510,     6.601,     0.000,     0.000,   363.381,     0.491,    67.760,   401.530,     1.000,     6.568,   250.286,   342.812,   249.960,   337.471,     7.814,    -2.798,    23.042,     2.475,     0.046,     2.367,     2.413,     2.413, 0.000E+00, 0.000E+00,
     3.600,    10.000,   441.519,     6.684,     0.000,     0.000,   265.989,     0.489,    67.769,   401.530,     1.000,     6.576,   166.129,   250.933,   254.580,   337.875,     8.221,    -6.712,    23.046,     2.564,     0.057,     2.328,     2.385,     2.385, 0.000E+00, 0.000E+00,
     3.700,    10.000,   441.528,     6.694,     0.000,     0.000,    41.439,     0.485,    67.778,   401.530,     1.000,     6.577,   -61.677,    39.093,   247.286,   337.922,     9.921,     0.213,    23.048,     2.655,     0.061,     2.293,     2.354,     2.354, 0.000E+00, 0.000E+00,
     3.800,    10.000,   441.536,     6.625,     0.000,     0.000,     0.000,     0.485,    67.786,   401.530,     1.000,     6.569,  -122.140,     0.000,   241.782,   337.590,    16.926,     9.406,    23.051,     2.752,     0.065,     2.288,     2.353,     2.353, 0.000E+00, 0.000E+00,
     3.900,    10.000,   441.543,     6.574,     0.000,     0.000,     0.000,     0.486,    67.793,   401.530,     1.000,     6.560,  -124.413,     0.000,   240.936,   337.341,    17.511,    10.497,    23.054,     2.852,     0.070,     2.292,     2.362,     2.362, 0.000E+00, 0.000E+00,
     4.000,    10.000,   441.548,     6.551,     0.000,     0.000,     0.000,     0.491,    67.798,   401.530,     1.000,     6.550,  -125.788,     0.000,   240.856,   337.231,    18.103,    11.310,    23.049,     2.967,     0.059,     2.348,     2.407,     2.407, 0.000E+00, 0.000E+00,
     4.100,    10.000,   441.558,     6.539,     0.000,     0.000,     0.000,     0.495,    67.808,   401.530,     1.000,     6.539,  -139.888,     0.000,   236.664,   337.174,    22.029,    17.349,    23.057,     3.063,     0.084,     2.365,     2.450,     2.450, 0.000E+00, 0.000E+00,
