$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    11.400,   22.6998,    8.1690,   13.5495,    3.2081,
    11.500,   22.6741,    8.2164,   13.7478,    3.2333,
    11.600,   22.6413,    8.2573,   14.0534,    3.2695,
    11.700,   22.6043,    8.2936,   14.3570,    3.3074,
    11.800,   22.5647,    8.3233,   14.6332,    3.3444,
    11.900,   22.5347,    8.3637,   14.7502,    3.3657,
    12.000,   22.5172,    8.4201,   14.7519,    3.3725,
    12.100,   22.4949,    8.4690,   14.8466,    3.3878,
    12.200,   22.4683,    8.5096,   14.9279,    3.4040,
    12.300,   22.4369,    8.5387,   15.0538,    3.4269,
    12.400,   22.4208,    8.5913,   14.8611,    3.4190,
    12.500,   22.4056,    8.6452,   14.6893,    3.4110,
    12.600,   22.3840,    8.6868,   14.6220,    3.4146,
    12.700,   22.3568,    8.7120,   14.6761,    3.4326,
    12.800,   22.3299,    8.7314,   14.8004,    3.4597,
    12.900,   22.3066,    8.7515,   14.8473,    3.4790,
    13.000,   22.2893,    8.7805,   14.7753,    3.4857,
    13.100,   22.2780,    8.8263,   14.6545,    3.4853,
    13.200,   22.2679,    8.8771,   14.5509,    3.4855,
    13.300,   22.2627,    8.9439,   14.3879,    3.4766,
    13.400,   22.2643,    9.0341,   14.1389,    3.4557,
    13.500,   22.2629,    9.1155,   13.9490,    3.4419,
    13.600,   22.2602,    9.1949,   13.7968,    3.4323,
    13.700,   22.2538,    9.2663,   13.7138,    3.4297,
    13.800,   22.2468,    9.3338,   13.6054,    3.4242,
    13.900,   22.2438,    9.4127,   13.4216,    3.4100,
    14.000,   22.2338,    9.4722,   13.3802,    3.4122,
    14.100,   22.2248,    9.5342,   13.3522,    3.4154,
    14.200,   22.2164,    9.6000,   13.3418,    3.4193,
    14.300,   22.2097,    9.6708,   13.3242,    3.4213,
    14.400,   22.2050,    9.7467,   13.2839,    3.4203,
    14.500,   22.2055,    9.8347,   13.1483,    3.4092,
    14.600,   22.2068,    9.9249,   13.0020,    3.3970,
    14.700,   22.2081,   10.0151,   12.8504,    3.3840,
    14.800,   22.2113,   10.1089,   12.6211,    3.3631,
    14.900,   22.1985,   10.1775,   12.8122,    3.3815,
    15.000,   22.1792,   10.2373,   13.1726,    3.4157,
    15.100,   22.1586,   10.2984,   13.6108,    3.4562,
    15.200,   22.1395,   10.3665,   14.0656,    3.4972,
    15.300,   22.1445,   10.4623,   13.8683,    3.4777,
    15.400,   22.1498,   10.5557,   13.6611,    3.4569,
    15.500,   22.1553,   10.6472,   13.4476,    3.4354,
    15.600,   22.1616,   10.7381,   13.2054,    3.4112,
    15.700,   22.1687,   10.8273,   12.9189,    3.3829,
    15.800,   22.1776,   10.9149,   12.5828,    3.3495,
    15.900,   22.1747,   11.0100,   12.6343,    3.3549,
    16.000,   22.1726,   11.0968,   12.6252,    3.3558,
    16.100,   22.1753,   11.1775,   12.4600,    3.3408,
    16.200,   22.1785,   11.2601,   12.3010,    3.3267,
    16.300,   22.1824,   11.3417,   12.1387,    3.3117,
    16.400,   22.1868,   11.4226,   11.9762,    3.2964,
    16.500,   22.1914,   11.5023,   11.8162,    3.2805,
    16.600,   22.1950,   11.5881,   11.6859,    3.2683,
    16.700,   22.1982,   11.6745,   11.5637,    3.2566,
    16.800,   22.2011,   11.7605,   11.4504,    3.2458,
    16.900,   22.2044,   11.8445,   11.3371,    3.2347,
    17.000,   22.2081,   11.9258,   11.2157,    3.2222,
    17.100,   22.2102,   12.0059,   11.0988,    3.2100,
    17.200,   22.2114,   12.0852,   10.9882,    3.1984,
    17.300,   22.2119,   12.1645,   10.8839,    3.1876,
    17.400,   22.2120,   12.2446,   10.7844,    3.1772,
    17.500,   22.2134,   12.3239,   10.6779,    3.1657,
    17.600,   22.2158,   12.4052,   10.5695,    3.1545,
    17.700,   22.2183,   12.4888,   10.4606,    3.1440,
    17.800,   22.2204,   12.5724,   10.3280,    3.1312,
    17.900,   22.2220,   12.6548,   10.3259,    3.1315,
    18.000,   22.2255,   12.7366,   10.2298,    3.1217,
    18.100,   22.2303,   12.8163,   10.1252,    3.1106,
