JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
     1.000,    10.000,   441.090,     6.700,    -0.000,    -0.056,     0.000,     0.500,    34.190,   847.510,     1.000,     6.700,  -167.936,     0.000,   229.371,   337.950,    34.183,    25.174,    23.000,     0.000,     0.000,     2.500,     2.500,     2.500, 0.000E+00, 0.000E+00,
     1.100,    10.000,   441.111,     6.681,     0.003,    44.357,     0.000,     0.499,    34.211,   847.510,     1.000,     6.681,  -169.423,     0.000,   229.011,   337.857,    34.735,    25.842,    23.002,     0.100,     0.000,     2.491,     2.491,     2.491, 0.000E+00, 0.000E+00,
     1.200,    10.000,   441.132,     6.662,     0.011,    33.878,     0.000,     0.498,    34.232,   847.510,     1.000,     6.662,  -153.541,     0.000,   234.130,   337.765,    30.555,    19.351,    23.005,     0.200,     0.000,     2.482,     2.482,     2.482, 0.000E+00, 0.000E+00,
     1.300,    10.000,   441.154,     6.643,     0.015,    34.850,     0.000,     0.497,    34.254,   847.510,     1.000,     6.643,  -150.360,     0.000,   242.700,   337.674,    31.356,    24.030,    23.010,     0.300,     0.001,     2.472,     2.473,     2.473, 0.000E+00, 0.000E+00,
     1.400,    10.000,   441.176,     6.625,     0.011,    34.720,     8.954,     0.496,    34.276,   847.510,     1.000,     6.625,  -113.430,     8.447,   263.050,   337.588,    27.603,    19.736,    23.016,     0.399,     0.001,     2.462,     2.463,     2.463, 0.000E+00, 0.000E+00,
     1.500,    10.000,   441.199,     6.611,    -0.000,    35.958,    36.867,     0.495,    34.299,   847.510,     1.000,     6.611,   -65.828,    34.780,   273.986,   337.520,    24.888,    12.185,    23.027,     0.499,     0.002,     2.451,     2.452,     2.452, 0.000E+00, 0.000E+00,
     1.600,    10.000,   441.226,     6.596,     0.001,    36.665,    60.312,     0.494,    34.326,   847.510,     1.000,     6.596,   -43.083,    56.898,   271.465,   337.450,    24.812,     9.184,    23.041,     0.598,     0.005,     2.437,     2.442,     2.442, 0.000E+00, 0.000E+00,
     1.700,    10.000,   441.257,     6.582,     0.005,    38.149,     9.988,     0.493,    34.357,   847.510,     1.000,     6.578,   -93.377,     9.423,   271.732,   337.380,    28.369,     8.783,    23.049,     0.697,     0.009,     2.420,     2.429,     2.429, 0.000E+00, 0.000E+00,
     1.800,    10.000,   441.293,     6.557,     0.007,    39.416,     0.000,     0.492,    34.393,   847.510,     1.000,     6.553,  -108.406,     0.000,   269.462,   337.259,    30.709,     9.899,    23.060,     0.796,     0.013,     2.404,     2.417,     2.417, 0.000E+00, 0.000E+00,
     1.900,    10.000,   441.333,     6.530,     0.016,    39.869,     0.000,     0.490,    34.433,   847.510,     1.000,     6.526,  -111.066,     0.000,   266.503,   337.129,    29.465,    10.974,    23.078,     0.895,     0.016,     2.387,     2.403,     2.403, 0.000E+00, 0.000E+00,
     2.000,    10.000,   441.374,     6.503,     0.011,    40.746,     0.000,     0.489,    34.474,   847.510,     1.000,     6.497,  -116.169,     0.000,   262.968,   336.999,    29.589,    12.549,    23.099,     0.993,     0.018,     2.370,     2.389,     2.389, 0.000E+00, 0.000E+00,
     2.100,    10.000,   441.383,     6.475,     0.004,    56.771,     0.000,     0.487,    34.483,   847.510,     1.000,     6.465,  -119.284,     0.000,   261.326,   336.864,    30.770,    12.975,    23.123,     1.090,     0.021,     2.353,     2.375,     2.375, 0.000E+00, 0.000E+00,
     2.200,    10.000,   441.378,     6.448,    -0.004,    57.714,     0.000,     0.486,    34.478,   847.510,     1.000,     6.428,  -114.843,     0.000,   260.834,   336.735,    27.841,    11.101,    23.130,     1.188,     0.023,     2.337,     2.360,     2.360, 0.000E+00, 0.000E+00,
     2.300,    10.000,   441.375,     6.425,    -0.007,    57.964,     0.000,     0.485,    34.475,   847.510,     1.000,     6.394,  -101.821,     0.000,   262.140,   336.626,    23.730,     3.605,    23.134,     1.286,     0.024,     2.322,     2.346,     2.346, 0.000E+00, 0.000E+00,
     2.400,    10.000,   441.375,     6.414,    -0.008,    59.000,    47.758,     0.483,    34.475,   847.510,     1.000,     6.367,   -28.298,    45.055,   273.025,   336.572,    17.503,    -7.697,    23.133,     1.384,     0.025,     2.308,     2.333,     2.333, 0.000E+00, 0.000E+00,
     2.500,    10.000,   441.378,     6.455,    -0.014,    59.818,   144.423,     0.481,    34.478,   847.510,     1.000,     6.356,   117.159,   136.249,   290.896,   336.768,    -7.210,   -19.573,    23.121,     1.482,     0.029,     2.280,     2.309,     2.309, 0.000E+00, 0.000E+00,
     2.600,    10.000,   441.384,     6.548,    -0.024,    61.127,   213.000,     0.479,    34.484,   847.510,     1.000,     6.352,   160.411,   200.943,   275.444,   337.217,     0.564,   -21.806,    23.096,     1.582,     0.032,     2.263,     2.295,     2.295, 0.000E+00, 0.000E+00,
     2.700,    10.000,   441.396,     6.611,    -0.031,    62.034,    45.674,     0.478,    34.496,   847.510,     1.000,     6.342,   -25.818,    43.089,   262.963,   337.522,     6.452,   -12.105,    23.065,     1.683,     0.030,     2.255,     2.285,     2.285, 0.000E+00, 0.000E+00,
     2.800,    10.000,   441.411,     6.569,    -0.025,    63.369,     0.000,     0.477,    34.511,   847.510,     1.000,     6.315,  -114.577,     0.000,   243.263,   337.320,    14.541,     5.979,    23.040,     1.785,     0.029,     2.246,     2.275,     2.275, 0.000E+00, 0.000E+00,
     2.900,    10.000,   441.430,     6.536,    -0.019,    64.613,     0.000,     0.478,    34.530,   847.510,     1.000,     6.297,  -115.958,     0.000,   242.556,   337.159,    15.165,     6.190,    23.031,     1.886,     0.027,     2.255,     2.282,     2.282, 0.000E+00, 0.000E+00,
     3.000,    10.000,   441.451,     6.504,    -0.015,    64.740,     0.000,     0.479,    34.551,   847.510,     1.000,     6.284,  -115.040,     0.000,   244.897,   337.004,    15.059,     7.873,    23.037,     1.986,     0.027,     2.266,     2.293,     2.293, 0.000E+00, 0.000E+00,
     3.100,    10.000,   441.465,     6.475,    -0.011,    69.344,     0.000,     0.479,    34.565,   847.510,     1.000,     6.275,  -120.675,     0.000,   243.127,   336.865,    17.567,     9.370,    23.031,     2.083,     0.031,     2.254,     2.285,     2.285, 0.000E+00, 0.000E+00,
     3.200,    10.000,   441.476,     6.446,    -0.008,    67.489,     0.000,     0.480,    34.576,   847.510,     1.000,     6.267,  -122.916,     0.000,   242.078,   336.726,    17.958,    10.310,    23.057,     2.174,     0.044,     2.254,     2.297,     2.297, 0.000E+00, 0.000E+00,
     3.300,    10.000,   441.488,     6.417,    -0.005,    66.621,     0.000,     0.480,    34.588,   847.510,     1.000,     6.256,  -129.432,     0.000,   239.798,   336.584,    19.226,    13.420,    23.060,     2.267,     0.055,     2.245,     2.300,     2.300, 0.000E+00, 0.000E+00,
     3.400,    10.000,   441.499,     6.395,    -0.016,    67.181,    51.223,     0.482,    34.599,   847.510,     1.000,     6.243,   -70.389,    48.323,   246.154,   336.479,    18.465,     9.923,    23.093,     2.357,     0.074,     2.243,     2.317,     2.317, 0.000E+00, 0.000E+00,
     3.500,    10.000,   441.510,     6.448,    -0.018,    66.397,   363.381,     0.481,    34.610,   847.510,     1.000,     6.250,   252.557,   342.812,   249.960,   336.732,     7.023,    -3.539,    23.088,     2.453,     0.086,     2.226,     2.312,     2.312, 0.000E+00, 0.000E+00,
     3.600,    10.000,   441.519,     6.560,    -0.027,    67.471,   265.989,     0.481,    34.619,   847.510,     1.000,     6.267,   168.011,   250.933,   254.580,   337.274,     7.557,    -7.330,    23.073,     2.554,     0.094,     2.213,     2.307,     2.307, 0.000E+00, 0.000E+00,
     3.700,    10.000,   441.528,     6.596,    -0.029,    67.057,    41.439,     0.481,    34.628,   847.510,     1.000,     6.261,   -60.247,    39.093,   247.286,   337.449,     9.426,    -0.248,    23.055,     2.661,     0.098,     2.208,     2.306,     2.306, 0.000E+00, 0.000E+00,
     3.800,    10.000,   441.536,     6.542,    -0.020,    66.937,     0.000,     0.482,    34.636,   847.510,     1.000,     6.232,  -120.932,     0.000,   241.782,   337.188,    16.510,     9.017,    23.050,     2.766,     0.104,     2.218,     2.322,     2.322, 0.000E+00, 0.000E+00,
     3.900,    10.000,   441.543,     6.500,    -0.016,    66.480,     0.000,     0.482,    34.643,   847.510,     1.000,     6.203,  -123.361,     0.000,   240.936,   336.986,    17.151,    10.160,    23.046,     2.865,     0.109,     2.207,     2.316,     2.316, 0.000E+00, 0.000E+00,
     4.000,    10.000,   441.548,     6.458,    -0.013,    66.009,     0.000,     0.484,    34.648,   847.510,     1.000,     6.180,  -124.467,     0.000,   240.856,   336.785,    17.652,    10.886,    23.067,     2.958,     0.122,     2.221,     2.343,     2.343, 0.000E+00, 0.000E+00,
     4.100,    10.000,   441.558,     6.424,    -0.010,    63.220,     0.000,     0.484,    34.658,   847.510,     1.000,     6.165,  -138.239,     0.000,   236.664,   336.620,    21.464,    16.818,    23.067,     3.057,     0.125,     2.212,     2.337,     2.337, 0.000E+00, 0.000E+00,
     4.200,    10.000,   441.567,     6.385,    -0.006,    62.982,     0.000,     0.483,    34.667,   847.510,     1.000,     6.152,  -143.353,     0.000,   235.177,   336.430,    22.623,    19.477,    23.069,     3.153,     0.128,     2.200,     2.328,     2.328, 0.000E+00, 0.000E+00,
     4.300,    10.000,   441.576,     6.347,    -0.011,    62.622,     0.747,     0.485,    34.676,   847.510,     1.000,     6.138,  -168.224,     0.705,   227.867,   336.249,    30.105,    30.441,    23.110,     3.230,     0.147,     2.201,     2.347,     2.347, 0.000E+00, 0.000E+00,
     4.400,    10.000,   441.585,     6.323,    -0.019,    62.611,    84.072,     0.487,    34.685,   847.510,     1.000,     6.125,   -74.796,    79.313,   230.882,   336.134,    26.328,    22.530,    23.141,     3.302,     0.170,     2.199,     2.369,     2.369, 0.000E+00, 0.000E+00,
     4.500,    10.000,   441.592,     6.345,    -0.015,    62.029,   232.034,     0.486,    34.692,   847.510,     1.000,     6.130,   100.272,   218.900,   246.076,   336.239,    17.492,    10.973,    23.133,     3.406,     0.175,     2.186,     2.361,     2.361, 0.000E+00, 0.000E+00,
     4.600,    10.000,   441.599,     6.371,    -0.025,    61.556,   115.150,     0.485,    34.699,   847.510,     1.000,     6.135,    -2.549,   108.632,   258.125,   336.364,    19.705,    13.237,    23.121,     3.512,     0.176,     2.169,     2.345,     2.345, 0.000E+00, 0.000E+00,
     4.700,    10.000,   441.604,     6.375,    -0.020,    61.875,    30.191,     0.486,    34.704,   847.510,     1.000,     6.129,   -91.002,    28.482,   252.703,   336.383,    20.674,    15.130,    23.109,     3.627,     0.184,     2.178,     2.362,     2.362, 0.000E+00, 0.000E+00,
     4.800,    10.000,   441.610,     6.349,    -0.025,    61.061,     0.000,     0.488,    34.710,   847.510,     1.000,     6.110,  -136.222,     0.000,   248.213,   336.260,    24.939,    23.236,    23.111,     3.729,     0.192,     2.184,     2.377,     2.377, 0.000E+00, 0.000E+00,
     4.900,    10.000,   441.614,     6.323,    -0.022,    60.800,     0.000,     0.488,    34.714,   847.510,     1.000,     6.079,  -142.630,     0.000,   246.725,   336.134,    28.342,    24.880,    23.112,     3.830,     0.201,     2.182,     2.383,     2.383, 0.000E+00, 0.000E+00,
     5.000,    10.000,   441.618,     6.297,    -0.018,    60.825,     0.000,     0.489,    34.718,   847.510,     1.000,     6.042,  -140.724,     0.000,   248.818,   336.008,    30.180,    23.354,    23.111,     3.933,     0.210,     2.180,     2.391,     2.391, 0.000E+00, 0.000E+00,
     5.100,    10.000,   441.625,     6.273,    -0.017,    58.167,     0.000,     0.490,    34.725,   847.510,     1.000,     6.006,  -132.106,     0.000,   252.735,   335.891,    29.653,    19.297,    23.121,     4.029,     0.225,     2.177,     2.402,     2.402, 0.000E+00, 0.000E+00,
     5.200,    10.000,   441.632,     6.249,    -0.007,    58.177,     0.000,     0.490,    34.732,   847.510,     1.000,     5.979,  -104.472,     0.000,   263.370,   335.777,    24.097,     7.969,    23.134,     4.120,     0.235,     2.169,     2.404,     2.404, 0.000E+00, 0.000E+00,
