                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
     1.500,   1,  0.18384220E+07,   0.18580889E+04,  -0.48933769E+06,  -0.97893456E+06,  -0.39157454E+04,   0.30102575E+06,   0.12984979E+06,   0.00000000E+00,   0.58433794E-08,
    11.500,   1,  0.10386390E+09,   0.10017972E+07,  -0.99926106E+06,  -0.11616862E+09,  -0.38985762E+05,   0.24826528E+08,   0.92894200E+07,   0.00000000E+00,   0.19935978E-05,
    21.500,   1,  0.16123992E+09,   0.18721776E+07,  -0.99926106E+06,  -0.19050186E+09,  -0.91136641E+05,   0.33864840E+08,   0.12847896E+08,   0.00000000E+00,   0.45964053E-05,
    31.500,   1,  0.20277179E+09,   0.34627985E+07,  -0.99926106E+06,  -0.24355298E+09,  -0.13760808E+06,   0.43079040E+08,   0.15590524E+08,   0.00000000E+00,   0.80769875E-05,
    41.500,   1,  0.23420134E+09,   0.42239510E+07,  -0.99926106E+06,  -0.26843558E+09,  -0.16193697E+06,   0.51508768E+08,   0.17470070E+08,   0.00000000E+00,   0.44578865E-05,
    51.500,   1,  0.26186806E+09,   0.43477720E+07,  -0.99926106E+06,  -0.29290406E+09,  -0.19495233E+06,   0.62832860E+08,   0.19964884E+08,   0.00000000E+00,   0.55904360E-05,
    61.500,   1,  0.32155286E+09,   0.47301515E+07,  -0.99926106E+06,  -0.31737254E+09,  -0.26018367E+06,   0.75869608E+08,   0.24618368E+08,   0.00000000E+00,   0.29144739E-05,
    71.500,   1,  0.37388714E+09,   0.59367165E+07,  -0.99926106E+06,  -0.34184102E+09,  -0.31314612E+06,   0.89265608E+08,   0.29009302E+08,   0.00000000E+00,   0.20694081E-05,
    81.500,   1,  0.43256227E+09,   0.73010925E+07,  -0.99926106E+06,  -0.37423603E+09,  -0.37804878E+06,   0.10262161E+09,   0.33384308E+08,   0.00000000E+00,   0.17222936E-05,
