JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
    13.200,    10.000,   443.975,     5.684,     0.008,   105.327,     0.000,     1.323,    56.575,   844.020,     1.000,     5.610,  -169.004,     0.000,   230.405,   333.069,    33.040,    33.300,    22.594,     9.260,     7.948,     2.778,    10.726,    10.726, 0.000E+00, 0.000E+00,
    13.300,    10.000,   443.977,     5.662,     0.011,   104.981,     0.249,     1.318,    56.577,   844.020,     1.000,     5.598,  -171.275,     0.235,   231.359,   332.965,    34.850,    35.054,    22.587,     9.274,     7.906,     2.776,    10.682,    10.682, 0.000E+00, 0.000E+00,
    13.400,    10.000,   443.977,     5.643,     0.014,   104.196,    43.284,     1.311,    56.577,   844.020,     1.000,     5.587,  -118.582,    40.834,   237.861,   332.873,    33.202,    31.202,    22.586,     9.358,     7.844,     2.769,    10.613,    10.613, 0.000E+00, 0.000E+00,
    13.500,    10.000,   443.976,     5.645,     0.009,   103.959,   194.159,     1.269,    56.576,   844.020,     1.000,     5.584,    80.532,   183.169,   254.200,   332.883,    17.612,     6.340,    22.589,     9.413,     7.456,     2.724,    10.181,    10.181, 0.000E+00, 0.000E+00,
    13.600,    10.000,   443.972,     5.681,     0.006,   104.552,   156.136,     1.193,    56.572,   844.020,     1.000,     5.584,    29.242,   147.298,   251.557,   333.056,    21.094,    15.462,    22.597,     9.434,     6.782,     2.642,     9.425,     9.425, 0.000E+00, 0.000E+00,
    13.700,    10.000,   443.966,     5.636,     0.007,   103.930,    24.712,     1.134,    56.566,   844.020,     1.000,     5.580,   -91.541,    23.313,   252.766,   332.842,    20.552,    14.225,    22.606,     9.457,     6.260,     2.574,     8.835,     8.835, 0.000E+00, 0.000E+00,
    13.800,    10.000,   443.958,     5.620,     0.014,   104.190,     0.000,     1.252,    56.558,   844.020,     1.000,     5.571,  -116.051,     0.000,   251.872,   332.763,    20.433,    14.727,    22.596,     9.675,     7.311,     2.707,    10.019,    10.019, 0.000E+00, 0.000E+00,
    13.900,    10.000,   443.948,     5.606,    -0.008,   103.388,     0.000,     1.256,    56.548,   834.980,     1.000,     5.563,  -122.682,     0.000,   249.225,   332.698,    21.246,    17.963,    22.583,     9.724,     7.346,     2.715,    10.061,    10.061, 0.000E+00, 0.000E+00,
    14.000,    10.000,   443.936,     5.591,    -0.011,   103.213,     0.000,     1.247,    56.536,   834.980,     1.000,     5.554,  -125.144,     0.000,   248.871,   332.625,    22.982,    18.409,    22.584,     9.806,     7.261,     2.704,     9.965,     9.965, 0.000E+00, 0.000E+00,
    14.100,    10.000,   443.933,     5.576,    -0.004,    92.585,     0.000,     1.238,    56.533,   834.980,     1.000,     5.545,  -127.195,     0.000,   248.252,   332.553,    23.666,    19.227,    22.575,     9.804,     7.184,     2.699,     9.883,     9.883, 0.000E+00, 0.000E+00,
