$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:408.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
     1.000,   23.0000,    0.0000,    0.0000,    2.5000,
     1.100,   23.0009,    0.0999,    0.0001,    2.4961,
     1.200,   23.0018,    0.1999,    0.0002,    2.4922,
     1.300,   23.0027,    0.2999,    0.0002,    2.4882,
     1.400,   23.0038,    0.3998,    0.0003,    2.4842,
     1.500,   23.0048,    0.4996,    0.0005,    2.4802,
     1.600,   23.0059,    0.5995,    0.0015,    2.4763,
     1.700,   23.0071,    0.6994,    0.0023,    2.4724,
     1.800,   23.0083,    0.7992,    0.0033,    2.4684,
     1.900,   23.0098,    0.8989,    0.0039,    2.4642,
     2.000,   23.0113,    0.9986,    0.0044,    2.4600,
     2.100,   23.0122,    1.0982,    0.0050,    2.4557,
     2.200,   23.0131,    1.1979,    0.0058,    2.4515,
     2.300,   23.0140,    1.2974,    0.0065,    2.4472,
     2.400,   23.0150,    1.3968,    0.0074,    2.4429,
     2.500,   23.0161,    1.4964,    0.0083,    2.4401,
     2.600,   23.0172,    1.5961,    0.0090,    2.4395,
     2.700,   23.0186,    1.6958,    0.0099,    2.4386,
     2.800,   23.0205,    1.7952,    0.0111,    2.4367,
     2.900,   23.0233,    1.8936,    0.0138,    2.4303,
     3.000,   23.0265,    1.9910,    0.0180,    2.4195,
     3.100,   23.0293,    2.0888,    0.0215,    2.4115,
     3.200,   23.0329,    2.1865,    0.0258,    2.4059,
     3.300,   23.0354,    2.2844,    0.0302,    2.4007,
     3.400,   23.0376,    2.3826,    0.0342,    2.3962,
     3.500,   23.0395,    2.4813,    0.0381,    2.3932,
     3.600,   23.0415,    2.5804,    0.0417,    2.3928,
     3.700,   23.0441,    2.6793,    0.0464,    2.3920,
     3.800,   23.0467,    2.7773,    0.0531,    2.3894,
     3.900,   23.0500,    2.8733,    0.0635,    2.3826,
     4.000,   23.0540,    2.9679,    0.0754,    2.3737,
     4.100,   23.0572,    3.0631,    0.0842,    2.3654,
     4.200,   23.0611,    3.1580,    0.0953,    2.3599,
     4.300,   23.0651,    3.2532,    0.1064,    2.3544,
     4.400,   23.0694,    3.3497,    0.1191,    2.3502,
     4.500,   23.0748,    3.4463,    0.1363,    2.3473,
     4.600,   23.0820,    3.5424,    0.1607,    2.3461,
     4.700,   23.0925,    3.6371,    0.1950,    2.3441,
     4.800,   23.1020,    3.7315,    0.2221,    2.3404,
     4.900,   23.1078,    3.8259,    0.2370,    2.3339,
     5.000,   23.1167,    3.9197,    0.2602,    2.3297,
     5.100,   23.1257,    4.0135,    0.2805,    2.3255,
     5.200,   23.1344,    4.1071,    0.2979,    2.3210,
     5.300,   23.1427,    4.2007,    0.3133,    2.3164,
     5.400,   23.1521,    4.2934,    0.3307,    2.3120,
     5.500,   23.1632,    4.3851,    0.3508,    2.3082,
     5.600,   23.1763,    4.4753,    0.3752,    2.3053,
     5.700,   23.1908,    4.5642,    0.4007,    2.3021,
     5.800,   23.2061,    4.6519,    0.4263,    2.2982,
     5.900,   23.2210,    4.7389,    0.4503,    2.2942,
     6.000,   23.2367,    4.8248,    0.4743,    2.2899,
     6.100,   23.2419,    4.9157,    0.4791,    2.2823,
     6.200,   23.2585,    4.9995,    0.5031,    2.2778,
     6.300,   23.2718,    5.0854,    0.5206,    2.2726,
     6.400,   23.2836,    5.1725,    0.5369,    2.2679,
     6.500,   23.2871,    5.2650,    0.5422,    2.2625,
     6.600,   23.2955,    5.3551,    0.5568,    2.2596,
     6.700,   23.3057,    5.4434,    0.5786,    2.2572,
     6.800,   23.3192,    5.5290,    0.6098,    2.2553,
     6.900,   23.3334,    5.6131,    0.6512,    2.2533,
     7.000,   23.3455,    5.6981,    0.7010,    2.2508,
     7.100,   23.3544,    5.7807,    0.7675,    2.2454,
     7.200,   23.3727,    5.8588,    0.8722,    2.2463,
     7.300,   23.3886,    5.9354,    0.9966,    2.2469,
     7.400,   23.4037,    6.0116,    1.1408,    2.2490,
     7.500,   23.4159,    6.0880,    1.2952,    2.2520,
     7.600,   23.4286,    6.1630,    1.4673,    2.2566,
     7.700,   23.4440,    6.2342,    1.6753,    2.2633,
     7.800,   23.4594,    6.3021,    1.9102,    2.2714,
     7.900,   23.4742,    6.3664,    2.1713,    2.2808,
     8.000,   23.4870,    6.4289,    2.4436,    2.2915,
     8.100,   23.4829,    6.4856,    2.7187,    2.3027,
     8.200,   23.4828,    6.5386,    3.0726,    2.3199,
     8.300,   23.4744,    6.5863,    3.5156,    2.3429,
     8.400,   23.4576,    6.6277,    4.0208,    2.3714,
     8.500,   23.4341,    6.6658,    4.5453,    2.4050,
     8.600,   23.4104,    6.6997,    5.1123,    2.4453,
     8.700,   23.3808,    6.7326,    5.7299,    2.4933,
     8.800,   23.3409,    6.7610,    6.5403,    2.5546,
     8.900,   23.2885,    6.7820,    7.5723,    2.6335,
     9.000,   23.2316,    6.8017,    8.6067,    2.7164,
     9.100,   23.1864,    6.8358,    9.3258,    2.7766,
     9.200,   23.1520,    6.8823,    9.8279,    2.8201,
     9.300,   23.1217,    6.9335,   10.2195,    2.8544,
     9.400,   23.0941,    6.9880,   10.5477,    2.8843,
     9.500,   23.0717,    7.0483,   10.7397,    2.9034,
     9.600,   23.0480,    7.1090,   11.0110,    2.9291,
     9.700,   23.0185,    7.1633,   11.4270,    2.9662,
     9.800,   22.9829,    7.2062,   11.9564,    3.0118,
     9.900,   22.9513,    7.2498,   12.3549,    3.0464,
    10.000,   22.9235,    7.2981,   12.6545,    3.0742,
    10.100,   22.8960,    7.3458,   12.9968,    3.1037,
    10.200,   22.8694,    7.3927,   13.4445,    3.1389,
    10.300,   22.8522,    7.4528,   13.6313,    3.1543,
    10.400,   22.8356,    7.5162,   13.7342,    3.1636,
    10.500,   22.8340,    7.5985,   13.5197,    3.1479,
    10.600,   22.8123,    7.6600,   13.8866,    3.1777,
    10.700,   22.7825,    7.7064,   14.4696,    3.2255,
    10.800,   22.7485,    7.7453,   15.0508,    3.2737,
    10.900,   22.7082,    7.7704,   15.7264,    3.3302,
    11.000,   22.6631,    7.7798,   16.4458,    3.3914,
    11.100,   22.6247,    7.8042,   17.0128,    3.4417,
    11.200,   22.5979,    7.8392,   17.2655,    3.4694,
