Derived constituent file for segment 11

JDAY,     TSS,    TISS,
    18.600,   12.6466,   12.6465,
    18.700,   12.5311,   12.5310,
    18.800,   12.3686,   12.3685,
    18.900,   12.2797,   12.2795,
    19.000,   12.1696,   12.1694,
    19.100,   12.0392,   12.0391,
    19.200,   11.8985,   11.8983,
    19.300,   11.7494,   11.7492,
    19.400,   11.6144,   11.6142,
    19.500,   11.5117,   11.5116,
    19.600,   11.4087,   11.4086,
    19.700,   11.2884,   11.2882,
    19.800,   11.1376,   11.1375,
    19.900,   10.9178,   10.9176,
    20.000,   10.7508,   10.7506,
    20.100,   10.5971,   10.5969,
    20.200,   10.4538,   10.4536,
    20.300,   10.3166,   10.3164,
    20.400,   10.1854,   10.1853,
    20.500,   10.0572,   10.0570,
    20.600,    9.9623,    9.9621,
    20.700,    9.8087,    9.8086,
    20.800,    9.6820,    9.6819,
    20.900,    9.5598,    9.5596,
    21.000,    9.4432,    9.4430,
    21.100,    9.3313,    9.3311,
    21.200,    9.2277,    9.2276,
    21.300,    9.1326,    9.1325,
    21.400,    9.0406,    9.0405,
    21.500,    8.9462,    8.9461,
    21.600,    8.8828,    8.8827,
    21.700,    8.7934,    8.7933,
    21.800,    8.6569,    8.6568,
    21.900,    8.5639,    8.5638,
    22.000,    8.4738,    8.4737,
    22.100,    8.3871,    8.3870,
    22.200,    8.3077,    8.3076,
    22.300,    8.2323,    8.2322,
    22.400,    8.1576,    8.1575,
    22.500,    8.0919,    8.0918,
    22.600,    8.0403,    8.0402,
    22.700,    7.9545,    7.9544,
    22.800,    7.8384,    7.8383,
    22.900,    7.7648,    7.7647,
    23.000,    7.6934,    7.6933,
    23.100,    7.6219,    7.6218,
    23.200,    7.5557,    7.5556,
    23.300,    7.4937,    7.4936,
    23.400,    7.4357,    7.4356,
    23.500,    7.3769,    7.3769,
    23.600,    7.3189,    7.3189,
    23.700,    7.2607,    7.2607,
    23.800,    7.2057,    7.2056,
    23.900,    7.1537,    7.1536,
    24.000,    7.1066,    7.1065,
    24.100,    7.0588,    7.0588,
    24.200,    7.0116,    7.0115,
    24.300,    6.9648,    6.9648,
    24.400,    6.9174,    6.9174,
    24.500,    6.8878,    6.8877,
    24.600,    6.8493,    6.8493,
    24.700,    6.8099,    6.8099,
    24.800,    6.7577,    6.7576,
    24.900,    6.6968,    6.6968,
    25.000,    6.6575,    6.6575,
    25.100,    6.6066,    6.6066,
    25.200,    6.5675,    6.5675,
    25.300,    6.5262,    6.5262,
    25.400,    6.4872,    6.4871,
    25.500,    6.4466,    6.4465,
    25.600,    6.4104,    6.4104,
    25.700,    6.3886,    6.3886,
    25.800,    6.3580,    6.3579,
    25.900,    6.3181,    6.3180,
    26.000,    6.2774,    6.2774,
    26.100,    6.2715,    6.2715,
    26.200,    6.2257,    6.2257,
    26.300,    6.1797,    6.1797,
    26.400,    6.1395,    6.1395,
    26.500,    6.1005,    6.1005,
    26.600,    6.0833,    6.0833,
    26.700,    6.0607,    6.0607,
    26.800,    6.0375,    6.0375,
    26.900,    6.0009,    6.0009,
    27.000,    5.9558,    5.9558,
    27.100,    5.9123,    5.9123,
    27.200,    5.8628,    5.8627,
    27.300,    5.8208,    5.8208,
    27.400,    5.7769,    5.7769,
    27.500,    5.7348,    5.7348,
    27.600,    5.6991,    5.6990,
    27.700,    5.6710,    5.6709,
    27.800,    5.6313,    5.6313,
    27.900,    5.5994,    5.5994,
    28.000,    5.5685,    5.5685,
    28.100,    5.5379,    5.5379,
    28.200,    5.5084,    5.5084,
    28.300,    5.4934,    5.4933,
    28.400,    5.4658,    5.4657,
    28.500,    5.4432,    5.4431,
    28.600,    5.4232,    5.4231,
    28.700,    5.4001,    5.4001,
    28.800,    5.3699,    5.3699,
    28.900,    5.3281,    5.3281,
    29.000,    5.3051,    5.3051,
    29.100,    5.2781,    5.2781,
    29.200,    5.2509,    5.2508,
    29.300,    5.2231,    5.2231,
    29.400,    5.1956,    5.1956,
    29.500,    5.1717,    5.1717,
    29.600,    5.1549,    5.1548,
    29.700,    5.1374,    5.1373,
    29.800,    5.1143,    5.1143,
    29.900,    5.0767,    5.0766,
    30.000,    5.0303,    5.0303,
    30.100,    4.9972,    4.9971,
    30.200,    4.9603,    4.9602,
    30.300,    4.9211,    4.9210,
    30.400,    4.8799,    4.8798,
    30.500,    4.8410,    4.8410,
    30.600,    4.8092,    4.8092,
    30.700,    4.7759,    4.7758,
    30.800,    4.7338,    4.7338,
    30.900,    4.6908,    4.6908,
    31.000,    4.6566,    4.6565,
    31.100,    4.6262,    4.6261,
    31.200,    4.5916,    4.5916,
    31.300,    4.5743,    4.5742,
    31.400,    4.5288,    4.5287,
    31.500,    4.4866,    4.4866,
    31.600,    4.4397,    4.4397,
    31.700,    4.3887,    4.3886,
    31.800,    4.3393,    4.3392,
    31.900,    4.2857,    4.2857,
    32.000,    4.2383,    4.2382,
    32.100,    4.1870,    4.1870,
    32.200,    4.1294,    4.1293,
    32.300,    4.0719,    4.0718,
    32.400,    4.0404,    4.0403,
    32.500,    3.9965,    3.9965,
    32.600,    3.9357,    3.9356,
    32.700,    3.8950,    3.8949,
    32.800,    3.8098,    3.8098,
    32.900,    3.6713,    3.6712,
    33.000,    3.5003,    3.5002,
    33.100,    3.4571,    3.4570,
    33.200,    3.3909,    3.3908,
    33.300,    3.3257,    3.3256,
    33.400,    3.2678,    3.2677,
    33.500,    3.2510,    3.2509,
    33.600,    3.2195,    3.2194,
    33.700,    3.1888,    3.1887,
    33.800,    3.1173,    3.1172,
    33.900,    3.0789,    3.0789,
    34.000,    3.0499,    3.0499,
    34.100,    3.0283,    3.0282,
    34.200,    3.0084,    3.0084,
    34.300,    2.9941,    2.9940,
    34.400,    2.9814,    2.9814,
    34.500,    2.9843,    2.9842,
    34.600,    2.9889,    2.9889,
    34.700,    2.9932,    2.9932,
    34.800,    2.9906,    2.9906,
    34.900,    2.9816,    2.9815,
    35.000,    2.9704,    2.9704,
    35.100,    2.9503,    2.9503,
    35.200,    2.9290,    2.9290,
    35.300,    2.9081,    2.9081,
    35.400,    2.8955,    2.8955,
    35.500,    2.8938,    2.8937,
    35.600,    2.9023,    2.9023,
    35.700,    2.9074,    2.9074,
    35.800,    2.8983,    2.8983,
    35.900,    2.8934,    2.8934,
    36.000,    2.8910,    2.8910,
    36.100,    2.8859,    2.8859,
    36.200,    2.8742,    2.8741,
    36.300,    2.8601,    2.8601,
    36.400,    2.8432,    2.8432,
    36.500,    2.8256,    2.8256,
    36.600,    2.8154,    2.8154,
    36.700,    2.8006,    2.8005,
    36.800,    2.7784,    2.7784,
    36.900,    2.7532,    2.7532,
    37.000,    2.7270,    2.7270,
    37.100,    2.6981,    2.6981,
    37.200,    2.6631,    2.6631,
    37.300,    2.6293,    2.6292,
    37.400,    2.5590,    2.5590,
    37.500,    2.5425,    2.5424,
    37.600,    2.5194,    2.5194,
    37.700,    2.5140,    2.5140,
    37.800,    2.5059,    2.5058,
    37.900,    2.4907,    2.4907,
    38.000,    2.4730,    2.4730,
    38.100,    2.4613,    2.4612,
    38.200,    2.4461,    2.4461,
    38.300,    2.4321,    2.4321,
    38.400,    2.4199,    2.4199,
    38.500,    2.4035,    2.4034,
    38.600,    2.3802,    2.3802,
    38.700,    2.3701,    2.3700,
    38.800,    2.3680,    2.3680,
    38.900,    2.3746,    2.3746,
    39.000,    2.3824,    2.3824,
    39.100,    2.3893,    2.3892,
    39.200,    2.3926,    2.3926,
    39.300,    2.2605,    2.2605,
    39.400,    2.2377,    2.2376,
    39.500,    2.2204,    2.2204,
    39.600,    2.2124,    2.2124,
    39.700,    2.2225,    2.2225,
    39.800,    2.2245,    2.2245,
    39.900,    2.2160,    2.2160,
    40.000,    2.2046,    2.2046,
    40.100,    2.1889,    2.1889,
    40.200,    2.2069,    2.2069,
    40.300,    2.1986,    2.1986,
    40.400,    2.1890,    2.1890,
    40.500,    2.1847,    2.1847,
    40.600,    2.1697,    2.1697,
    40.700,    2.1966,    2.1966,
    40.800,    2.1843,    2.1843,
    40.900,    2.1742,    2.1742,
    41.000,    2.1672,    2.1671,
    41.100,    2.1557,    2.1557,
    41.200,    2.1233,    2.1232,
    41.300,    2.0916,    2.0915,
    41.400,    2.0761,    2.0761,
    41.500,    2.0774,    2.0774,
    41.600,    2.0241,    2.0241,
    41.700,    2.1089,    2.1088,
    41.800,    2.0898,    2.0898,
    41.900,    2.0572,    2.0571,
    42.000,    2.0231,    2.0231,
    42.100,    1.9825,    1.9825,
    42.200,    1.9450,    1.9450,
    42.300,    1.8823,    1.8823,
    42.400,    1.8271,    1.8270,
    42.500,    1.8029,    1.8029,
    42.600,    1.7921,    1.7921,
    42.700,    1.7984,    1.7984,
    42.800,    1.7718,    1.7718,
    42.900,    1.6706,    1.6705,
    43.000,    1.6316,    1.6316,
    43.100,    1.6230,    1.6230,
    43.200,    1.5944,    1.5944,
    43.300,    1.5745,    1.5745,
    43.400,    1.5579,    1.5579,
    43.500,    1.5452,    1.5452,
    43.600,    1.5382,    1.5382,
    43.700,    1.5416,    1.5416,
    43.800,    1.5005,    1.5005,
    43.900,    1.4885,    1.4884,
    44.000,    1.4929,    1.4929,
    44.100,    1.4831,    1.4831,
    44.200,    1.4835,    1.4834,
    44.300,    1.4729,    1.4729,
    44.400,    1.4629,    1.4629,
    44.500,    1.4544,    1.4544,
    44.600,    1.4541,    1.4541,
    44.700,    1.3910,    1.3910,
    44.800,    1.3921,    1.3921,
    44.900,    1.3938,    1.3938,
    45.000,    1.3936,    1.3936,
    45.100,    1.3947,    1.3947,
    45.200,    1.3929,    1.3929,
    45.300,    1.3905,    1.3904,
    45.400,    1.3883,    1.3883,
    45.500,    1.3865,    1.3865,
    45.600,    1.3752,    1.3752,
    45.700,    1.3951,    1.3951,
    45.800,    1.4026,    1.4026,
    45.900,    1.4087,    1.4087,
    46.000,    1.4231,    1.4231,
    46.100,    1.4235,    1.4235,
    46.200,    1.4182,    1.4182,
    46.300,    1.4219,    1.4219,
    46.400,    1.4285,    1.4285,
    46.500,    1.4321,    1.4321,
    46.600,    1.4413,    1.4413,
