$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TSS,    TISS,
     1.000,    0.0000,    2.5000,
     1.100,    2.4962,    2.4962,
     1.200,    2.4923,    2.4923,
     1.300,    2.4884,    2.4884,
     1.400,    2.4845,    2.4845,
     1.500,    2.4807,    2.4807,
     1.600,    2.4779,    2.4778,
     1.700,    2.4747,    2.4747,
     1.800,    2.4717,    2.4717,
     1.900,    2.4681,    2.4681,
     2.000,    2.4644,    2.4644,
     2.100,    2.4607,    2.4607,
     2.200,    2.4572,    2.4572,
     2.300,    2.4537,    2.4537,
     2.400,    2.4504,    2.4504,
     2.500,    2.4468,    2.4468,
     2.600,    2.4433,    2.4433,
     2.700,    2.4391,    2.4391,
     2.800,    2.4336,    2.4336,
     2.900,    2.4253,    2.4252,
     3.000,    2.4297,    2.4297,
     3.100,    2.4331,    2.4331,
     3.200,    2.4317,    2.4317,
     3.300,    2.4310,    2.4310,
     3.400,    2.4304,    2.4304,
     3.500,    2.4302,    2.4302,
     3.600,    2.4291,    2.4291,
     3.700,    2.4264,    2.4264,
     3.800,    2.4214,    2.4214,
     3.900,    2.4127,    2.4127,
     4.000,    2.4300,    2.4300,
     4.100,    2.4495,    2.4495,
     4.200,    2.4552,    2.4552,
     4.300,    2.4608,    2.4608,
     4.400,    2.4693,    2.4693,
     4.500,    2.4756,    2.4756,
     4.600,    2.4715,    2.4715,
     4.700,    2.4654,    2.4654,
     4.800,    2.5049,    2.5049,
     4.900,    2.5709,    2.5709,
     5.000,    2.5899,    2.5899,
     5.100,    2.6060,    2.6060,
     5.200,    2.6189,    2.6190,
     5.300,    2.6296,    2.6296,
     5.400,    2.6390,    2.6390,
     5.500,    2.6349,    2.6349,
     5.600,    2.6305,    2.6305,
     5.700,    2.6287,    2.6287,
     5.800,    2.6304,    2.6304,
     5.900,    2.6319,    2.6319,
     6.000,    2.6346,    2.6346,
     6.100,    2.6348,    2.6349,
     6.200,    2.6344,    2.6344,
     6.300,    2.6377,    2.6377,
     6.400,    2.6429,    2.6429,
     6.500,    2.6536,    2.6536,
     6.600,    2.6725,    2.6725,
     6.700,    2.7018,    2.7018,
     6.800,    2.7356,    2.7356,
     6.900,    2.7684,    2.7684,
     7.000,    2.8013,    2.8014,
     7.100,    2.9071,    2.9072,
     7.200,    2.9823,    2.9824,
     7.300,    3.1031,    3.1033,
     7.400,    3.2375,    3.2376,
     7.500,    3.3814,    3.3816,
     7.600,    3.5586,    3.5589,
     7.700,    3.7991,    3.7993,
     7.800,    4.0685,    4.0688,
     7.900,    4.3477,    4.3480,
     8.000,    4.6422,    4.6425,
     8.100,    4.9564,    4.9569,
     8.200,    5.3489,    5.3494,
     8.300,    5.8229,    5.8235,
     8.400,    6.3365,    6.3371,
     8.500,    6.8449,    6.8455,
     8.600,    7.3133,    7.3139,
     8.700,    7.7666,    7.7672,
     8.800,    8.2699,    8.2707,
     8.900,    9.1319,    9.1329,
     9.000,   10.2162,   10.2171,
     9.100,   11.0169,   11.0176,
     9.200,   11.6481,   11.6487,
     9.300,   12.1516,   12.1521,
     9.400,   12.5600,   12.5604,
     9.500,   12.8652,   12.8656,
     9.600,   13.1874,   13.1878,
     9.700,   13.5331,   13.5335,
     9.800,   13.9182,   13.9186,
     9.900,   14.2577,   14.2580,
    10.000,   14.5440,   14.5444,
    10.100,   14.7121,   14.7124,
    10.200,   14.6097,   14.6099,
    10.300,   14.4034,   14.4036,
    10.400,   14.6531,   14.6533,
    10.500,   14.4860,   14.4863,
    10.600,   14.3317,   14.3320,
    10.700,   14.2182,   14.2185,
    10.800,   14.5838,   14.5842,
    10.900,   15.3701,   15.3706,
    11.000,   16.0924,   16.0929,
    11.100,   15.9659,   15.9663,
    11.200,   16.2872,   16.2876,
    11.300,   16.5494,   16.5497,
    11.400,   16.7572,   16.7575,
    11.500,   16.9807,   16.9811,
    11.600,   17.3225,   17.3229,
    11.700,   17.6641,   17.6644,
    11.800,   17.9773,   17.9776,
    11.900,   18.1159,   18.1159,
    12.000,   18.1244,   18.1244,
    12.100,   18.2345,   18.2345,
    12.200,   18.3319,   18.3319,
    12.300,   18.4808,   18.4807,
    12.400,   18.2802,   18.2801,
    12.500,   18.1004,   18.1003,
    12.600,   18.0366,   18.0366,
    12.700,   18.1087,   18.1087,
    12.800,   18.2600,   18.2601,
    12.900,   18.3263,   18.3263,
    13.000,   18.2610,   18.2609,
    13.100,   18.1400,   18.1399,
    13.200,   18.0365,   18.0364,
    13.300,   17.8646,   17.8645,
    13.400,   17.5947,   17.5946,
    13.500,   17.3911,   17.3909,
    13.600,   17.2292,   17.2290,
    13.700,   17.1436,   17.1435,
    13.800,   17.0298,   17.0296,
    13.900,   16.8317,   16.8316,
    14.000,   16.7925,   16.7924,
    14.100,   16.7677,   16.7676,
    14.200,   16.7613,   16.7611,
    14.300,   16.7457,   16.7455,
    14.400,   16.7044,   16.7042,
    14.500,   16.5577,   16.5575,
    14.600,   16.3992,   16.3990,
    14.700,   16.2346,   16.2344,
    14.800,   15.9845,   15.9843,
    14.900,   16.1938,   16.1936,
    15.000,   16.5885,   16.5883,
    15.100,   17.0674,   17.0671,
    15.200,   17.5631,   17.5629,
    15.300,   17.3462,   17.3460,
    15.400,   17.1183,   17.1180,
    15.500,   16.8832,   16.8830,
