 Fish habitat analysis: CE-QUAL-W2 model results
 
 Species, Temperature minimum, Temperature maximum, Dissolved oxygen minimum
RainbowTrout,               0.00,   18.00,    5.00
StripedBass,               10.00,   24.00,    5.00
Walleye,                   12.00,   24.00,    5.00
WhiteBass,                  0.00,   28.00,    3.00
SmallmouthBass,             0.00,   29.00,    4.00
SpottedBass,                0.00,   24.40,    6.00
GizzardShad,               10.00,   26.70,    6.00
LargemouthBass,            10.00,   30.00,    5.00
ChannelCatfish,            18.00,   31.00,    5.00
 
JDAY,%VOL-RainbowTrout,HAB-VOL(m3)-RainbowTrout,%VOL-StripedBass,HAB-VOL(m3)-StripedBass,%VOL-Walleye,HAB-VOL(m3)-Walleye,%VOL-WhiteBass,HAB-VOL(m3)-WhiteBass,%VOL-SmallmouthBass,HAB-VOL(m3)-SmallmouthBass,%VOL-SpottedBass,HAB-VOL(m3)-SpottedBass,%VOL-GizzardShad,HAB-VOL(m3)-GizzardShad,%VOL-LargemouthBass,HAB-VOL(m3)-LargemouthBass,%VOL-ChannelCatfish,HAB-VOL(m3)-ChannelCatfish,
     3.600,  100.00,  0.2034E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2034E+09,  100.00,  0.2034E+09,  100.00,  0.2034E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.700,  100.00,  0.2035E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2035E+09,  100.00,  0.2035E+09,  100.00,  0.2035E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.800,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2036E+09,  100.00,  0.2036E+09,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.900,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2036E+09,  100.00,  0.2036E+09,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.000,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2036E+09,  100.00,  0.2036E+09,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.100,  100.00,  0.2037E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2037E+09,  100.00,  0.2037E+09,  100.00,  0.2037E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.200,  100.00,  0.2038E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2038E+09,  100.00,  0.2038E+09,  100.00,  0.2038E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.300,  100.00,  0.2038E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2038E+09,  100.00,  0.2038E+09,  100.00,  0.2038E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.400,  100.00,  0.2039E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2039E+09,  100.00,  0.2039E+09,  100.00,  0.2039E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.500,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2040E+09,  100.00,  0.2040E+09,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.600,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2040E+09,  100.00,  0.2040E+09,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.700,  100.00,  0.2041E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2041E+09,  100.00,  0.2041E+09,  100.00,  0.2041E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.800,  100.00,  0.2041E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2041E+09,  100.00,  0.2041E+09,  100.00,  0.2041E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.900,  100.00,  0.2041E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2041E+09,  100.00,  0.2041E+09,  100.00,  0.2041E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.000,  100.00,  0.2042E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2042E+09,  100.00,  0.2042E+09,  100.00,  0.2042E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.100,  100.00,  0.2042E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2042E+09,  100.00,  0.2042E+09,  100.00,  0.2042E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.200,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2043E+09,  100.00,  0.2043E+09,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.300,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2043E+09,  100.00,  0.2043E+09,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.400,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2043E+09,  100.00,  0.2043E+09,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.500,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2043E+09,  100.00,  0.2043E+09,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.600,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2044E+09,  100.00,  0.2044E+09,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.700,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2044E+09,  100.00,  0.2044E+09,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.800,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2044E+09,  100.00,  0.2044E+09,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     5.900,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2044E+09,  100.00,  0.2044E+09,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.000,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2044E+09,  100.00,  0.2044E+09,  100.00,  0.2044E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.100,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2043E+09,  100.00,  0.2043E+09,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.200,  100.00,  0.2042E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2042E+09,  100.00,  0.2042E+09,  100.00,  0.2042E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.300,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2040E+09,  100.00,  0.2040E+09,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.400,  100.00,  0.2039E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2039E+09,  100.00,  0.2039E+09,  100.00,  0.2039E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.500,  100.00,  0.2039E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2039E+09,  100.00,  0.2039E+09,  100.00,  0.2039E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.600,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2040E+09,  100.00,  0.2040E+09,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.700,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2043E+09,  100.00,  0.2043E+09,  100.00,  0.2043E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.800,  100.00,  0.2046E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2046E+09,  100.00,  0.2046E+09,  100.00,  0.2046E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.900,  100.00,  0.2049E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2049E+09,  100.00,  0.2049E+09,  100.00,  0.2049E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.000,  100.00,  0.2053E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2053E+09,  100.00,  0.2053E+09,  100.00,  0.2053E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.100,  100.00,  0.2054E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2054E+09,  100.00,  0.2054E+09,  100.00,  0.2054E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.200,  100.00,  0.2054E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2054E+09,  100.00,  0.2054E+09,  100.00,  0.2054E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.300,  100.00,  0.2055E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2055E+09,  100.00,  0.2055E+09,  100.00,  0.2055E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.400,  100.00,  0.2057E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2057E+09,  100.00,  0.2057E+09,  100.00,  0.2057E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.500,  100.00,  0.2060E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2060E+09,  100.00,  0.2060E+09,  100.00,  0.2060E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.600,  100.00,  0.2064E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2064E+09,  100.00,  0.2064E+09,  100.00,  0.2064E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.700,  100.00,  0.2068E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2068E+09,  100.00,  0.2068E+09,  100.00,  0.2068E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.800,  100.00,  0.2074E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2074E+09,  100.00,  0.2074E+09,  100.00,  0.2074E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.900,  100.00,  0.2080E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2080E+09,  100.00,  0.2080E+09,  100.00,  0.2080E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.000,  100.00,  0.2087E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2087E+09,  100.00,  0.2087E+09,  100.00,  0.2087E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.100,  100.00,  0.2096E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2096E+09,  100.00,  0.2096E+09,  100.00,  0.2096E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.200,  100.00,  0.2105E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2105E+09,  100.00,  0.2105E+09,  100.00,  0.2105E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.300,  100.00,  0.2117E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2117E+09,  100.00,  0.2117E+09,  100.00,  0.2117E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.400,  100.00,  0.2131E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2131E+09,  100.00,  0.2131E+09,  100.00,  0.2131E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.500,  100.00,  0.2144E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2144E+09,  100.00,  0.2144E+09,  100.00,  0.2144E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.600,  100.00,  0.2155E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2155E+09,  100.00,  0.2155E+09,  100.00,  0.2155E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.700,  100.00,  0.2166E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2166E+09,  100.00,  0.2166E+09,  100.00,  0.2166E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.800,  100.00,  0.2175E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2175E+09,  100.00,  0.2175E+09,  100.00,  0.2175E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.900,  100.00,  0.2183E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2183E+09,  100.00,  0.2183E+09,  100.00,  0.2183E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.000,  100.00,  0.2190E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2190E+09,  100.00,  0.2190E+09,  100.00,  0.2190E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.100,  100.00,  0.2195E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2195E+09,  100.00,  0.2195E+09,  100.00,  0.2195E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.200,  100.00,  0.2199E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2199E+09,  100.00,  0.2199E+09,  100.00,  0.2199E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.300,  100.00,  0.2202E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2202E+09,  100.00,  0.2202E+09,  100.00,  0.2202E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.400,  100.00,  0.2205E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2205E+09,  100.00,  0.2205E+09,  100.00,  0.2205E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.500,  100.00,  0.2206E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2206E+09,  100.00,  0.2206E+09,  100.00,  0.2206E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.600,  100.00,  0.2206E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2206E+09,  100.00,  0.2206E+09,  100.00,  0.2206E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.700,  100.00,  0.2205E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2205E+09,  100.00,  0.2205E+09,  100.00,  0.2205E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.800,  100.00,  0.2204E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2204E+09,  100.00,  0.2204E+09,  100.00,  0.2204E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     9.900,  100.00,  0.2202E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2202E+09,  100.00,  0.2202E+09,  100.00,  0.2202E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    10.000,  100.00,  0.2199E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2199E+09,  100.00,  0.2199E+09,  100.00,  0.2199E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    10.100,  100.00,  0.2196E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2196E+09,  100.00,  0.2196E+09,  100.00,  0.2196E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    10.200,  100.00,  0.2199E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2199E+09,  100.00,  0.2199E+09,  100.00,  0.2199E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    10.300,  100.00,  0.2203E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2203E+09,  100.00,  0.2203E+09,  100.00,  0.2203E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    10.400,  100.00,  0.2206E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2206E+09,  100.00,  0.2206E+09,  100.00,  0.2206E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    10.500,  100.00,  0.2208E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2208E+09,  100.00,  0.2208E+09,  100.00,  0.2208E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    10.600,  100.00,  0.2210E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2210E+09,  100.00,  0.2210E+09,  100.00,  0.2210E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
