JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
     1.008,   669.497,   441.089,     6.691,     0.001,     0.000,     0.000,     0.500,    67.339,   401.530,     1.000,     6.699,  -167.936,     0.000,   229.371,   337.950,    34.183,    25.174,    23.001,     0.008,     0.000,     2.496,     2.500,     2.500, 0.000E+00, 0.000E+00,
     1.100,   679.861,   441.110,     6.691,     0.001,     0.000,     0.000,     0.500,    67.360,   401.530,     1.000,     6.691,  -169.657,     0.000,   228.997,   337.910,    34.819,    25.925,    23.001,     0.100,     0.000,     2.496,     2.496,     2.496, 0.000E+00, 0.000E+00,
     1.206,   687.818,   441.132,     6.683,     0.001,     0.000,     0.000,     0.499,    67.382,   401.530,     1.000,     6.683,  -154.402,     0.000,   233.900,   337.870,    30.768,    19.665,    23.002,     0.206,     0.000,     2.492,     2.492,     2.492, 0.000E+00, 0.000E+00,
     1.300,   695.017,   441.152,     6.675,     0.001,     0.000,     0.000,     0.499,    67.402,   401.530,     1.000,     6.675,  -152.811,     0.000,   241.372,   337.834,    31.718,    24.631,    23.003,     0.300,     0.000,     2.488,     2.489,     2.489, 0.000E+00, 0.000E+00,
     1.400,   703.759,   441.175,     6.668,     0.001,     0.000,     7.974,     0.499,    67.425,   401.530,     1.000,     6.668,  -116.152,     7.523,   261.816,   337.798,    27.726,    19.966,    23.004,     0.400,     0.000,     2.484,     2.485,     2.485, 0.000E+00, 0.000E+00,
     1.500,   689.735,   441.198,     6.664,     0.001,     0.000,    36.867,     0.498,    67.448,   401.530,     1.000,     6.664,   -67.417,    34.780,   273.569,   337.775,    25.247,    12.744,    23.005,     0.500,     0.001,     2.480,     2.481,     2.481, 0.000E+00, 0.000E+00,
     1.600,   680.386,   441.225,     6.660,     0.001,     0.000,    59.476,     0.498,    67.475,   401.530,     1.000,     6.660,   -44.690,    56.109,   271.651,   337.758,    25.158,     9.534,    23.006,     0.600,     0.001,     2.476,     2.478,     2.478, 0.000E+00, 0.000E+00,
     1.705,   655.337,   441.256,     6.657,     0.001,     0.000,    11.605,     0.497,    67.506,   401.530,     1.000,     6.657,   -92.777,    10.948,   271.745,   337.743,    28.644,     9.082,    23.007,     0.705,     0.002,     2.472,     2.475,     2.475, 0.000E+00, 0.000E+00,
     1.807,   641.165,   441.293,     6.651,     0.001,     0.000,     0.000,     0.497,    67.543,   401.530,     1.000,     6.651,  -109.858,     0.000,   269.472,   337.715,    31.239,    10.377,    23.008,     0.806,     0.003,     2.468,     2.472,     2.472, 0.000E+00, 0.000E+00,
     1.900,   635.454,   441.331,     6.645,     0.001,     0.000,     0.000,     0.497,    67.581,   401.530,     1.000,     6.645,  -112.142,     0.000,   266.829,   337.686,    29.973,    11.312,    23.010,     0.899,     0.004,     2.464,     2.468,     2.468, 0.000E+00, 0.000E+00,
