JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
     1.008,   669.497,   441.090,     6.690,     0.000,    25.418,     0.000,     0.500,    34.190,   847.510,     1.000,     6.699,  -167.936,     0.000,   229.371,   337.950,    34.183,    25.174,    23.001,     0.008,     0.000,     2.496,     2.500,     2.500, 0.000E+00, 0.000E+00,
     1.100,   679.861,   441.113,     6.681,     0.002,    52.752,     0.000,     0.500,    34.213,   847.510,     1.000,     6.681,  -169.498,     0.000,   228.997,   337.858,    34.763,    25.873,    23.002,     0.100,     0.000,     2.491,     2.491,     2.491, 0.000E+00, 0.000E+00,
     1.206,   687.818,   441.132,     6.661,     0.011,    34.731,     0.000,     0.499,    34.232,   847.510,     1.000,     6.661,  -154.086,     0.000,   233.900,   337.767,    30.657,    19.562,    23.005,     0.206,     0.000,     2.482,     2.483,     2.483, 0.000E+00, 0.000E+00,
     1.300,   695.017,   441.152,     6.643,     0.014,    30.268,     0.000,     0.498,    34.252,   847.510,     1.000,     6.643,  -152.287,     0.000,   241.372,   337.683,    31.525,    24.451,    23.009,     0.300,     0.001,     2.472,     2.474,     2.474, 0.000E+00, 0.000E+00,
     1.400,   703.759,   441.175,     6.625,     0.012,    40.516,     7.974,     0.497,    34.275,   847.510,     1.000,     6.625,  -115.507,     7.523,   261.816,   337.593,    27.498,    19.754,    23.015,     0.399,     0.001,     2.462,     2.464,     2.464, 0.000E+00, 0.000E+00,
     1.500,   689.735,   441.199,     6.611,    -0.000,    42.557,    36.867,     0.496,    34.299,   847.510,     1.000,     6.611,   -66.653,    34.780,   273.569,   337.523,    24.982,    12.497,    23.024,     0.499,     0.002,     2.451,     2.453,     2.453, 0.000E+00, 0.000E+00,
     1.600,   680.386,   441.228,     6.597,     0.002,    57.627,    59.476,     0.494,    34.328,   847.510,     1.000,     6.597,   -43.757,    56.109,   271.651,   337.455,    24.832,     9.230,    23.041,     0.598,     0.005,     2.438,     2.443,     2.443, 0.000E+00, 0.000E+00,
     1.705,   655.337,   441.256,     6.582,     0.005,    37.919,    11.605,     0.493,    34.356,   847.510,     1.000,     6.579,   -91.688,    10.948,   271.745,   337.390,    28.264,     8.728,    23.049,     0.703,     0.008,     2.421,     2.430,     2.430, 0.000E+00, 0.000E+00,
     1.807,   641.165,   441.293,     6.557,     0.007,    39.314,     0.000,     0.492,    34.393,   847.510,     1.000,     6.554,  -108.441,     0.000,   269.472,   337.268,    30.736,     9.908,    23.059,     0.804,     0.012,     2.404,     2.418,     2.418, 0.000E+00, 0.000E+00,
     1.900,   635.454,   441.330,     6.531,     0.016,    39.627,     0.000,     0.491,    34.430,   847.510,     1.000,     6.529,  -110.443,     0.000,   266.829,   337.144,    29.375,    10.754,    23.093,     0.895,     0.016,     2.389,     2.405,     2.405, 0.000E+00, 0.000E+00,
     2.000,   633.510,   441.372,     6.505,     0.011,    44.202,     0.000,     0.490,    34.472,   847.510,     1.000,     6.501,  -115.579,     0.000,   263.285,   337.016,    29.534,    12.314,    23.113,     0.993,     0.018,     2.372,     2.391,     2.391, 0.000E+00, 0.000E+00,
     2.100,   630.610,   441.384,     6.477,     0.005,    72.174,     0.000,     0.488,    34.484,   847.510,     1.000,     6.468,  -119.295,     0.000,   261.357,   336.877,    30.785,    12.989,    23.124,     1.092,     0.021,     2.355,     2.376,     2.376, 0.000E+00, 0.000E+00,
