$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:408.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
     1.008,   23.0000,    0.0000,    0.0000,    2.5000,
     1.100,   23.0009,    0.0987,    0.0001,    2.4961,
     1.206,   23.0018,    0.1979,    0.0002,    2.4922,
     1.300,   23.0027,    0.2919,    0.0002,    2.4885,
     1.400,   23.0037,    0.3958,    0.0003,    2.4843,
     1.500,   23.0048,    0.4959,    0.0005,    2.4803,
     1.600,   23.0059,    0.5984,    0.0015,    2.4764,
     1.705,   23.0070,    0.6971,    0.0023,    2.4725,
     1.807,   23.0082,    0.7987,    0.0033,    2.4684,
     1.900,   23.0097,    0.8950,    0.0038,    2.4644,
     2.000,   23.0111,    0.9934,    0.0043,    2.4602,
     2.100,   23.0120,    1.0959,    0.0049,    2.4558,
     2.204,   23.0128,    1.1952,    0.0057,    2.4516,
     2.306,   23.0138,    1.2966,    0.0064,    2.4473,
     2.400,   23.0148,    1.3929,    0.0074,    2.4431,
     2.500,   23.0158,    1.4900,    0.0082,    2.4400,
     2.600,   23.0169,    1.5924,    0.0089,    2.4393,
     2.703,   23.0181,    1.6923,    0.0097,    2.4385,
     2.804,   23.0195,    1.7936,    0.0106,    2.4370,
     2.900,   23.0213,    1.8902,    0.0128,    2.4309,
     3.000,   23.0230,    1.9901,    0.0166,    2.4177,
     3.100,   23.0252,    2.0855,    0.0192,    2.4127,
     3.202,   23.0285,    2.1844,    0.0232,    2.4074,
     3.304,   23.0323,    2.2839,    0.0282,    2.4020,
     3.400,   23.0359,    2.3791,    0.0333,    2.3965,
     3.500,   23.0391,    2.4793,    0.0385,    2.3923,
     3.600,   23.0412,    2.5738,    0.0425,    2.3912,
     3.701,   23.0438,    2.6726,    0.0474,    2.3902,
     3.802,   23.0466,    2.7720,    0.0545,    2.3875,
     3.900,   23.0502,    2.8665,    0.0650,    2.3809,
     4.000,   23.0534,    2.9615,    0.0756,    2.3734,
     4.100,   23.0558,    3.0610,    0.0827,    2.3649,
     4.202,   23.0587,    3.1553,    0.0912,    2.3601,
     4.305,   23.0620,    3.2551,    0.1004,    2.3554,
     4.400,   23.0657,    3.3496,    0.1117,    2.3517,
     4.500,   23.0704,    3.4494,    0.1277,    2.3485,
     4.600,   23.0764,    3.5420,    0.1492,    2.3474,
     4.702,   23.0857,    3.6374,    0.1811,    2.3454,
     4.806,   23.0944,    3.7346,    0.2060,    2.3413,
     4.900,   23.1004,    3.8265,    0.2223,    2.3355,
     5.000,   23.1087,    3.9195,    0.2445,    2.3316,
     5.100,   23.1178,    4.0163,    0.2650,    2.3273,
     5.205,   23.1260,    4.1098,    0.2815,    2.3229,
     5.307,   23.1342,    4.2056,    0.2965,    2.3183,
     5.400,   23.1420,    4.2958,    0.3108,    2.3139,
     5.500,   23.1504,    4.3883,    0.3259,    2.3100,
     5.600,   23.1593,    4.4833,    0.3429,    2.3068,
     5.704,   23.1680,    4.5751,    0.3594,    2.3036,
     5.808,   23.1768,    4.6696,    0.3743,    2.2991,
     5.900,   23.1842,    4.7574,    0.3854,    2.2945,
     6.000,   23.1911,    4.8482,    0.3955,    2.2895,
     6.100,   23.1958,    4.9425,    0.4015,    2.2833,
     6.203,   23.2026,    5.0327,    0.4111,    2.2787,
     6.302,   23.2082,    5.1276,    0.4178,    2.2733,
     6.400,   23.2123,    5.2167,    0.4231,    2.2686,
     6.500,   23.2139,    5.3118,    0.4254,    2.2633,
     6.600,   23.2186,    5.4076,    0.4338,    2.2612,
     6.703,   23.2245,    5.5009,    0.4457,    2.2598,
     6.804,   23.2317,    5.5937,    0.4617,    2.2583,
     6.900,   23.2404,    5.6830,    0.4853,    2.2573,
     7.000,   23.2479,    5.7734,    0.5189,    2.2552,
     7.100,   23.2544,    5.8586,    0.5732,    2.2498,
     7.203,   23.2660,    5.9433,    0.6509,    2.2513,
     7.302,   23.2765,    6.0256,    0.7426,    2.2525,
     7.400,   23.2855,    6.1076,    0.8487,    2.2546,
     7.500,   23.2920,    6.1885,    0.9592,    2.2571,
     7.600,   23.2988,    6.2696,    1.0871,    2.2611,
     7.702,   23.3079,    6.3474,    1.2524,    2.2674,
     7.800,   23.3182,    6.4195,    1.4489,    2.2748,
     7.900,   23.3304,    6.4891,    1.6829,    2.2830,
