$Temperature file for segment 11
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    19.500,    5.25,          -99.00,
    19.600,    5.25,          -99.00,
    19.701,    5.25,          -99.00,
    19.803,    5.24,          -99.00,
    19.900,    5.22,          -99.00,
    20.000,    5.21,          -99.00,
    20.100,    5.19,          -99.00,
    20.201,    5.18,          -99.00,
    20.303,    5.16,          -99.00,
    20.400,    5.13,          -99.00,
    20.500,    5.13,          -99.00,
    20.600,    5.13,          -99.00,
    20.703,    5.11,          -99.00,
    20.801,    5.10,          -99.00,
    20.900,    5.08,          -99.00,
    21.000,    5.06,          -99.00,
    21.100,    5.04,          -99.00,
    21.201,    5.02,          -99.00,
    21.302,    5.01,          -99.00,
    21.400,    4.99,          -99.00,
    21.500,    4.98,          -99.00,
    21.600,    4.97,          -99.00,
    21.702,    4.97,          -99.00,
    21.802,    4.94,          -99.00,
    21.900,    4.93,          -99.00,
    22.000,    4.91,          -99.00,
    22.100,    4.89,          -99.00,
    22.208,    4.88,          -99.00,
    22.302,    4.87,          -99.00,
    22.400,    4.85,          -99.00,
    22.500,    4.85,          -99.00,
    22.600,    4.85,          -99.00,
    22.701,    4.83,          -99.00,
    22.802,    4.81,          -99.00,
    22.900,    4.80,          -99.00,
    23.000,    4.79,          -99.00,
    23.100,    4.78,          -99.00,
    23.201,    4.77,          -99.00,
    23.302,    4.75,          -99.00,
    23.400,    4.75,          -99.00,
    23.500,    4.74,          -99.00,
    23.600,    4.74,          -99.00,
    23.701,    4.73,          -99.00,
    23.802,    4.72,          -99.00,
    23.900,    4.71,          -99.00,
    24.000,    4.71,          -99.00,
    24.100,    4.70,          -99.00,
    24.202,    4.69,          -99.00,
    24.302,    4.68,          -99.00,
    24.400,    4.68,          -99.00,
    24.500,    4.68,          -99.00,
    24.600,    4.67,          -99.00,
    24.704,    4.67,          -99.00,
    24.802,    4.66,          -99.00,
    24.900,    4.65,          -99.00,
    25.000,    4.64,          -99.00,
    25.100,    4.64,          -99.00,
    25.202,    4.63,          -99.00,
    25.302,    4.62,          -99.00,
    25.400,    4.62,          -99.00,
    25.500,    4.61,          -99.00,
    25.600,    4.61,          -99.00,
    25.702,    4.60,          -99.00,
    25.802,    4.59,          -99.00,
    25.900,    4.58,          -99.00,
    26.000,    4.56,          -99.00,
    26.100,    4.55,          -99.00,
    26.202,    4.54,          -99.00,
    26.302,    4.53,          -99.00,
    26.400,    4.51,          -99.00,
    26.500,    4.52,          -99.00,
    26.600,    4.52,          -99.00,
    26.708,    4.52,          -99.00,
    26.802,    4.51,          -99.00,
    26.900,    4.50,          -99.00,
    27.000,    4.48,          -99.00,
    27.100,    4.48,          -99.00,
    27.201,    4.46,          -99.00,
    27.302,    4.45,          -99.00,
    27.400,    4.44,          -99.00,
    27.500,    4.43,          -99.00,
    27.600,    4.43,          -99.00,
    27.704,    4.43,          -99.00,
    27.802,    4.42,          -99.00,
    27.900,    4.41,          -99.00,
    28.000,    4.40,          -99.00,
    28.100,    4.39,          -99.00,
    28.208,    4.38,          -99.00,
    28.302,    4.37,          -99.00,
    28.400,    4.36,          -99.00,
    28.500,    4.36,          -99.00,
    28.600,    4.37,          -99.00,
    28.701,    4.37,          -99.00,
    28.802,    4.36,          -99.00,
    28.900,    4.35,          -99.00,
    29.000,    4.34,          -99.00,
    29.100,    4.33,          -99.00,
    29.208,    4.32,          -99.00,
    29.302,    4.31,          -99.00,
    29.400,    4.30,          -99.00,
    29.500,    4.30,          -99.00,
    29.600,    4.30,          -99.00,
    29.701,    4.30,          -99.00,
    29.802,    4.29,          -99.00,
    29.900,    4.28,          -99.00,
    30.000,    4.27,          -99.00,
    30.100,    4.26,          -99.00,
    30.202,    4.25,          -99.00,
    30.302,    4.24,          -99.00,
    30.400,    4.23,          -99.00,
    30.500,    4.22,          -99.00,
    30.600,    4.22,          -99.00,
    30.702,    4.22,          -99.00,
    30.802,    4.21,          -99.00,
    30.900,    4.20,          -99.00,
    31.000,    4.19,          -99.00,
    31.100,    4.18,          -99.00,
    31.202,    4.17,          -99.00,
    31.300,    4.16,          -99.00,
    31.400,    4.15,          -99.00,
    31.500,    4.14,          -99.00,
    31.600,    4.14,          -99.00,
    31.706,    4.13,          -99.00,
    31.802,    4.08,          -99.00,
    31.900,    4.02,          -99.00,
    32.000,    3.99,          -99.00,
    32.100,    3.98,          -99.00,
    32.208,    3.97,          -99.00,
    32.302,    3.96,          -99.00,
    32.400,    3.94,          -99.00,
    32.500,    3.92,          -99.00,
    32.600,    3.91,          -99.00,
    32.702,    3.90,          -99.00,
    32.802,    3.89,          -99.00,
    32.900,    3.88,          -99.00,
    33.000,    3.86,          -99.00,
    33.100,    3.84,          -99.00,
    33.202,    3.82,          -99.00,
    33.302,    3.81,          -99.00,
    33.400,    3.79,          -99.00,
    33.500,    3.78,          -99.00,
    33.600,    3.78,          -99.00,
    33.708,    3.78,          -99.00,
    33.802,    3.77,          -99.00,
    33.900,    3.76,          -99.00,
    34.000,    3.75,          -99.00,
    34.100,    3.75,          -99.00,
    34.202,    3.76,          -99.00,
    34.301,    3.76,          -99.00,
    34.400,    3.76,          -99.00,
    34.500,    3.78,          -99.00,
    34.600,    3.79,          -99.00,
    34.702,    3.81,          -99.00,
    34.801,    3.82,          -99.00,
    34.900,    3.82,          -99.00,
    35.000,    3.82,          -99.00,
    35.100,    3.82,          -99.00,
    35.208,    3.82,          -99.00,
    35.302,    3.82,          -99.00,
    35.400,    3.81,          -99.00,
    35.500,    3.81,          -99.00,
    35.600,    3.82,          -99.00,
    35.708,    3.83,          -99.00,
    35.801,    3.83,          -99.00,
    35.900,    3.83,          -99.00,
    36.000,    3.83,          -99.00,
    36.100,    3.82,          -99.00,
    36.208,    3.82,          -99.00,
    36.301,    3.82,          -99.00,
    36.400,    3.82,          -99.00,
    36.500,    3.81,          -99.00,
    36.600,    3.82,          -99.00,
    36.703,    3.82,          -99.00,
    36.801,    3.82,          -99.00,
    36.900,    3.82,          -99.00,
    37.000,    3.81,          -99.00,
    37.100,    3.81,          -99.00,
    37.207,    3.80,          -99.00,
    37.301,    3.80,          -99.00,
    37.400,    3.80,          -99.00,
    37.500,    3.80,          -99.00,
    37.600,    3.81,          -99.00,
    37.703,    3.81,          -99.00,
    37.801,    3.80,          -99.00,
    37.900,    3.80,          -99.00,
    38.000,    3.80,          -99.00,
    38.100,    3.80,          -99.00,
    38.203,    3.80,          -99.00,
    38.302,    3.79,          -99.00,
    38.400,    3.79,          -99.00,
    38.500,    3.80,          -99.00,
    38.600,    3.80,          -99.00,
    38.704,    3.79,          -99.00,
    38.802,    3.79,          -99.00,
    38.900,    3.78,          -99.00,
    39.000,    3.78,          -99.00,
    39.100,    3.78,          -99.00,
    39.207,    3.78,          -99.00,
    39.302,    3.78,          -99.00,
    39.400,    3.78,          -99.00,
    39.500,    3.78,          -99.00,
    39.600,    3.79,          -99.00,
    39.701,    3.79,          -99.00,
    39.802,    3.79,          -99.00,
    39.900,    3.79,          -99.00,
    40.000,    3.78,          -99.00,
    40.100,    3.78,          -99.00,
    40.205,    3.77,          -99.00,
    40.302,    3.76,          -99.00,
    40.400,    3.76,          -99.00,
    40.500,    3.76,          -99.00,
    40.600,    3.77,          -99.00,
    40.702,    3.79,          -99.00,
    40.802,    3.79,          -99.00,
    40.900,    3.78,          -99.00,
    41.000,    3.78,          -99.00,
    41.100,    3.78,          -99.00,
    41.207,    3.77,          -99.00,
    41.301,    3.76,          -99.00,
    41.400,    3.76,          -99.00,
    41.500,    3.76,          -99.00,
    41.600,    3.78,          -99.00,
    41.708,    3.80,          -99.00,
    41.802,    3.79,          -99.00,
    41.900,    3.79,          -99.00,
    42.000,    3.78,          -99.00,
    42.100,    3.77,          -99.00,
    42.206,    3.77,          -99.00,
    42.300,    3.75,          -99.00,
    42.400,    3.74,          -99.00,
    42.500,    3.74,          -99.00,
    42.600,    3.74,          -99.00,
    42.702,    3.75,          -99.00,
    42.800,    3.75,          -99.00,
    42.900,    3.74,          -99.00,
    43.000,    3.73,          -99.00,
    43.100,    3.71,          -99.00,
    43.208,    3.70,          -99.00,
    43.302,    3.69,          -99.00,
    43.400,    3.68,          -99.00,
    43.500,    3.68,          -99.00,
    43.600,    3.68,          -99.00,
    43.703,    3.69,          -99.00,
    43.801,    3.68,          -99.00,
    43.900,    3.68,          -99.00,
    44.000,    3.67,          -99.00,
    44.100,    3.66,          -99.00,
    44.208,    3.66,          -99.00,
    44.302,    3.65,          -99.00,
    44.400,    3.65,          -99.00,
    44.500,    3.65,          -99.00,
    44.600,    3.66,          -99.00,
    44.703,    3.66,          -99.00,
    44.801,    3.66,          -99.00,
    44.900,    3.66,          -99.00,
    45.000,    3.65,          -99.00,
    45.100,    3.65,          -99.00,
    45.208,    3.65,          -99.00,
    45.302,    3.65,          -99.00,
    45.400,    3.64,          -99.00,
    45.500,    3.65,          -99.00,
    45.600,    3.66,          -99.00,
    45.706,    3.68,          -99.00,
    45.801,    3.69,          -99.00,
    45.900,    3.69,          -99.00,
    46.000,    3.69,          -99.00,
    46.100,    3.69,          -99.00,
    46.208,    3.68,          -99.00,
    46.302,    3.68,          -99.00,
    46.400,    3.68,          -99.00,
    46.500,    3.69,          -99.00,
    46.600,    3.72,          -99.00,
