$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:408.     

JDAY,     TSS,    TISS,
     1.008,    0.0000,    2.5000,
     1.100,    2.4965,    2.4962,
     1.206,    2.4927,    2.4924,
     1.300,    2.4887,    2.4887,
     1.400,    2.4849,    2.4846,
     1.500,    2.4811,    2.4808,
     1.600,    2.4781,    2.4778,
     1.705,    2.4750,    2.4747,
     1.807,    2.4720,    2.4717,
     1.900,    2.4683,    2.4682,
     2.000,    2.4648,    2.4645,
     2.100,    2.4610,    2.4607,
     2.204,    2.4575,    2.4573,
     2.306,    2.4539,    2.4537,
     2.400,    2.4505,    2.4504,
     2.500,    2.4483,    2.4482,
     2.600,    2.4483,    2.4482,
     2.703,    2.4482,    2.4482,
     2.804,    2.4477,    2.4477,
     2.900,    2.4437,    2.4437,
     3.000,    2.4346,    2.4344,
     3.100,    2.4320,    2.4319,
     3.202,    2.4307,    2.4307,
     3.304,    2.4302,    2.4302,
     3.400,    2.4298,    2.4298,
     3.500,    2.4307,    2.4308,
     3.600,    2.4335,    2.4337,
     3.701,    2.4373,    2.4375,
     3.802,    2.4417,    2.4420,
     3.900,    2.4458,    2.4459,
     4.000,    2.4486,    2.4489,
     4.100,    2.4474,    2.4476,
     4.202,    2.4511,    2.4513,
     4.305,    2.4554,    2.4558,
     4.400,    2.4631,    2.4634,
     4.500,    2.4752,    2.4762,
     4.600,    2.4951,    2.4965,
     4.702,    2.5248,    2.5266,
     4.806,    2.5455,    2.5473,
     4.900,    2.5576,    2.5578,
     5.000,    2.5748,    2.5760,
     5.100,    2.5912,    2.5924,
     5.205,    2.6035,    2.6044,
     5.307,    2.6138,    2.6147,
     5.400,    2.6246,    2.6247,
     5.500,    2.6351,    2.6359,
     5.600,    2.6489,    2.6497,
     5.704,    2.6621,    2.6630,
     5.808,    2.6725,    2.6734,
     5.900,    2.6800,    2.6799,
     6.000,    2.6846,    2.6850,
     6.100,    2.6844,    2.6847,
     6.203,    2.6895,    2.6897,
     6.302,    2.6911,    2.6911,
     6.400,    2.6917,    2.6917,
     6.500,    2.6884,    2.6887,
     6.600,    2.6947,    2.6950,
     6.703,    2.7050,    2.7055,
     6.804,    2.7194,    2.7200,
     6.900,    2.7422,    2.7427,
     7.000,    2.7726,    2.7741,
     7.100,    2.8204,    2.8229,
     7.203,    2.8994,    2.9022,
     7.302,    2.9921,    2.9951,
     7.400,    3.1006,    3.1033,
     7.500,    3.2126,    3.2163,
     7.600,    3.3439,    3.3482,
     7.702,    3.5142,    3.5198,
     7.800,    3.7175,    3.7237,
     7.900,    3.9602,    3.9659,
     8.000,    4.2062,    4.2131,
     8.100,    4.4750,    4.4830,
     8.200,    4.8328,    4.8383,
     8.301,    5.2881,    5.2939,
     8.400,    5.8145,    5.8225,
     8.500,    6.3520,    6.3677,
     8.600,    6.9454,    6.9619,
     8.703,    7.5184,    7.5356,
     8.803,    8.2147,    8.2430,
     8.900,    9.2185,    9.2369,
     9.000,   10.3968,   10.4330,
     9.100,   11.3600,   11.3746,
     9.204,   11.8913,   11.9069,
     9.303,   12.2597,   12.2735,
     9.400,   12.5881,   12.5950,
     9.500,   12.7908,   12.8009,
     9.600,   13.0520,   13.0618,
     9.705,   13.4456,   13.4629,
     9.801,   13.9501,   13.9607,
     9.900,   14.3058,   14.3148,
    10.000,   14.5860,   14.6001,
    10.100,   14.9055,   14.9222,
    10.201,   15.2434,   15.2517,
    10.304,   15.4056,   15.4147,
    10.400,   15.6169,   15.6265,
    10.500,   15.5684,   15.5795,
    10.600,   15.9088,   15.9336,
    10.702,   16.3352,   16.3559,
    10.803,   16.8965,   16.9113,
    10.900,   17.5323,   17.5384,
    11.000,   18.0557,   18.0754,
    11.100,   18.5471,   18.5564,
    11.205,   18.8139,   18.8293,
    11.303,   19.0586,   19.0681,
    11.400,   19.2759,   19.2904,
    11.500,   19.3820,   19.4012,
    11.600,   19.5029,   19.5120,
    11.707,   19.8359,   19.8617,
    11.803,   20.5254,   20.5347,
    11.900,   20.8303,   20.8361,
