$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    10.304,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    10.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    10.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    10.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    10.702,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    10.803,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    10.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.205,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.303,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.707,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.803,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    11.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.201,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.303,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.705,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.803,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    12.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.205,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.303,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.701,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.803,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    13.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.201,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.304,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.702,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.801,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    14.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.201,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.303,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.500,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.600,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.701,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.807,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    15.900,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    16.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    16.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    16.202,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
    16.304,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
