$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TSS,    TISS,
    18.400,   13.0803,   13.0708,
    18.500,   12.9285,   12.9181,
    18.600,   12.7948,   12.7895,
    18.708,   12.6656,   12.6534,
    18.801,   12.4665,   12.4641,
    18.900,   12.4141,   12.4126,
    19.000,   12.3741,   12.3667,
    19.100,   12.2534,   12.2430,
    19.208,   12.1240,   12.1124,
    19.303,   11.9921,   11.9893,
    19.400,   11.8650,   11.8556,
    19.500,   11.7520,   11.7474,
    19.600,   11.6606,   11.6563,
    19.701,   11.5432,   11.5387,
    19.803,   11.4136,   11.4089,
    19.900,   11.2560,   11.2519,
    20.000,   11.1250,   11.1142,
    20.100,   10.9818,   10.9661,
    20.201,   10.8310,   10.8282,
    20.303,   10.6900,   10.6873,
    20.400,   10.5582,   10.5517,
    20.500,   10.4472,   10.4332,
    20.600,   10.3206,   10.3071,
    20.703,   10.1762,   10.1709,
    20.801,   10.0419,   10.0388,
    20.900,    9.8880,    9.8833,
    21.000,    9.7651,    9.7494,
    21.100,    9.5887,    9.5878,
    21.201,    9.4370,    9.4348,
    21.302,    9.2973,    9.2920,
    21.400,    9.1496,    9.1457,
    21.500,    9.0225,    9.0180,
    21.600,    8.9094,    8.9059,
    21.702,    8.8007,    8.7997,
    21.802,    8.6770,    8.6728,
    21.900,    8.5588,    8.5553,
    22.000,    8.4488,    8.4405,
    22.100,    8.3256,    8.3206,
    22.208,    8.2140,    8.2065,
    22.302,    8.1078,    8.1046,
    22.400,    8.0171,    8.0145,
    22.500,    7.9408,    7.9377,
    22.600,    7.8733,    7.8700,
    22.701,    7.8111,    7.8104,
    22.802,    7.7384,    7.7355,
    22.900,    7.6700,    7.6676,
    23.000,    7.6043,    7.6007,
    23.100,    7.5400,    7.5366,
    23.201,    7.4729,    7.4722,
    23.302,    7.4071,    7.4044,
    23.400,    7.3369,    7.3341,
    23.500,    7.2720,    7.2691,
    23.600,    7.2136,    7.2109,
    23.701,    7.1534,    7.1528,
    23.802,    7.0975,    7.0952,
    23.900,    7.0420,    7.0398,
    24.000,    6.9848,    6.9820,
