$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    11.500,   22.6420,    8.1753,   14.9992,    3.3520,
    11.600,   22.6271,    8.2369,   15.0403,    3.3654,
    11.707,   22.6046,    8.2826,   15.2588,    3.3940,
    11.803,   22.5695,    8.3051,   15.6654,    3.4407,
    11.900,   22.5468,    8.3507,   15.6708,    3.4542,
    12.000,   22.5261,    8.3998,   15.6673,    3.4651,
    12.100,   22.5001,    8.4388,   15.8148,    3.4880,
    12.201,   22.4716,    8.4722,   15.9651,    3.5122,
    12.303,   22.4427,    8.5022,   16.0556,    3.5327,
    12.400,   22.4155,    8.5299,   16.1099,    3.5498,
    12.500,   22.3997,    8.5904,   15.8615,    3.5370,
    12.600,   22.3811,    8.6461,   15.6940,    3.5326,
    12.705,   22.3515,    8.6707,   15.8328,    3.5584,
    12.803,   22.3154,    8.6694,   16.2028,    3.6072,
    12.900,   22.2833,    8.6670,   16.4255,    3.6410,
    13.000,   22.2615,    8.6875,   16.4232,    3.6520,
    13.100,   22.2463,    8.7269,   16.3829,    3.6564,
    13.205,   22.2350,    8.7764,   16.2888,    3.6546,
    13.303,   22.2268,    8.8349,   16.1713,    3.6494,
    13.400,   22.2222,    8.9041,   16.0221,    3.6400,
    13.500,   22.2277,    9.0077,   15.6909,    3.6105,
    13.600,   22.2309,    9.1085,   15.4215,    3.5872,
    13.701,   22.2205,    9.1686,   15.4123,    3.5918,
    13.803,   22.1951,    9.1832,   15.6468,    3.6221,
    13.900,   22.1867,    9.2501,   15.5411,    3.6159,
    14.000,   22.1792,    9.3167,   15.4474,    3.6109,
    14.100,   22.1681,    9.3750,   15.4375,    3.6151,
    14.201,   22.1620,    9.4439,   15.3459,    3.6102,
    14.304,   22.1593,    9.5272,   15.2059,    3.5996,
    14.400,   22.1578,    9.6107,   15.0739,    3.5896,
    14.500,   22.1646,    9.7153,   14.8083,    3.5652,
    14.600,   22.1742,    9.8351,   14.4908,    3.5353,
    14.702,   22.1658,    9.8974,   14.5212,    3.5418,
    14.801,   22.1537,    9.9516,   14.5856,    3.5518,
    14.900,   22.1537,   10.0388,   14.4440,    3.5400,
    15.000,   22.1553,   10.1307,   14.2785,    3.5252,
    15.100,   22.1564,   10.2261,   14.1398,    3.5123,
    15.201,   22.1632,   10.3329,   13.9022,    3.4887,
    15.303,   22.1717,   10.4422,   13.6375,    3.4621,
    15.400,   22.1809,   10.5447,   13.3587,    3.4337,
    15.500,   22.1997,   10.6731,   12.8590,    3.3823,
    15.600,   22.2078,   10.7782,   12.6048,    3.3564,
    15.701,   22.2117,   10.8729,   12.4367,    3.3398,
    15.807,   22.2075,   10.9517,   12.4299,    3.3408,
    15.900,   22.2087,   11.0306,   12.3054,    3.3284,
    16.000,   22.2082,   11.1069,   12.2651,    3.3233,
    16.100,   22.1899,   11.1434,   12.6382,    3.3621,
    16.202,   22.1900,   11.2223,   12.5444,    3.3546,
    16.304,   22.1948,   11.3071,   12.3605,    3.3368,
    16.400,   22.1999,   11.3873,   12.1828,    3.3191,
    16.500,   22.2041,   11.4715,   12.0292,    3.3042,
    16.600,   22.2071,   11.5598,   11.9061,    3.2929,
    16.701,   22.2103,   11.6459,   11.7809,    3.2810,
    16.803,   22.2135,   11.7341,   11.6588,    3.2691,
    16.900,   22.2165,   11.8176,   11.5472,    3.2581,
    17.000,   22.2196,   11.9046,   11.4270,    3.2458,
    17.100,   22.2211,   11.9878,   11.3122,    3.2339,
    17.201,   22.2218,   12.0698,   11.2017,    3.2223,
    17.303,   22.2222,   12.1534,   11.0904,    3.2106,
