 Fish habitat analysis: CE-QUAL-W2 model results
 
 Species, Temperature minimum, Temperature maximum, Dissolved oxygen minimum
RainbowTrout,               0.00,   18.00,    5.00
StripedBass,               10.00,   24.00,    5.00
Walleye,                   12.00,   24.00,    5.00
WhiteBass,                  0.00,   28.00,    3.00
SmallmouthBass,             0.00,   29.00,    4.00
SpottedBass,                0.00,   24.40,    6.00
GizzardShad,               10.00,   26.70,    6.00
LargemouthBass,            10.00,   30.00,    5.00
ChannelCatfish,            18.00,   31.00,    5.00
 
JDAY,%VOL-RainbowTrout,HAB-VOL(m3)-RainbowTrout,%VOL-StripedBass,HAB-VOL(m3)-StripedBass,%VOL-Walleye,HAB-VOL(m3)-Walleye,%VOL-WhiteBass,HAB-VOL(m3)-WhiteBass,%VOL-SmallmouthBass,HAB-VOL(m3)-SmallmouthBass,%VOL-SpottedBass,HAB-VOL(m3)-SpottedBass,%VOL-GizzardShad,HAB-VOL(m3)-GizzardShad,%VOL-LargemouthBass,HAB-VOL(m3)-LargemouthBass,%VOL-ChannelCatfish,HAB-VOL(m3)-ChannelCatfish,
     3.000,  100.00,  0.2029E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2029E+09,  100.00,  0.2029E+09,  100.00,  0.2029E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.100,  100.00,  0.2030E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2030E+09,  100.00,  0.2030E+09,  100.00,  0.2030E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.202,  100.00,  0.2031E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2031E+09,  100.00,  0.2031E+09,  100.00,  0.2031E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.304,  100.00,  0.2032E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2032E+09,  100.00,  0.2032E+09,  100.00,  0.2032E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.400,  100.00,  0.2033E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2033E+09,  100.00,  0.2033E+09,  100.00,  0.2033E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.500,  100.00,  0.2034E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2034E+09,  100.00,  0.2034E+09,  100.00,  0.2034E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.600,  100.00,  0.2034E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2034E+09,  100.00,  0.2034E+09,  100.00,  0.2034E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.701,  100.00,  0.2035E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2035E+09,  100.00,  0.2035E+09,  100.00,  0.2035E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.802,  100.00,  0.2035E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2035E+09,  100.00,  0.2035E+09,  100.00,  0.2035E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     3.900,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2036E+09,  100.00,  0.2036E+09,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.000,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2036E+09,  100.00,  0.2036E+09,  100.00,  0.2036E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.100,  100.00,  0.2037E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2037E+09,  100.00,  0.2037E+09,  100.00,  0.2037E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.202,  100.00,  0.2038E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2038E+09,  100.00,  0.2038E+09,  100.00,  0.2038E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     4.305,  100.00,  0.2038E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2038E+09,  100.00,  0.2038E+09,  100.00,  0.2038E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
